species,RL.cat,TBL,pext,ED,EDGE
Lycopodiella_inundata,VU,148.6303812,0.1769975061073516,148.6303868464636,26.307207803594974
Lycopodium_clavatum,LC,55.5090875,0.002751860043623699,61.948718296920276,0.17047420263499527
Diphasiastrum_alpinum,LC,55.5090875,0.06914924998831656,55.765358720421446,3.856132730846572
Selaginella_selaginoides,LC,303.0976417,0.08499514815331775,303.09764181081846,25.761828970631754
Psilotum_nudum,CR,214.5206475,0.9912831966528172,214.52065275140743,212.6507184074641
Ophioglossum_lusitanicum,LC,92.385506,0.08041255782056342,92.5861264254058,7.445087244564938
Botrychium_matricariifolium,EX,14.755342,0.9999,19.9037073549717,19.901716984236202
Botrychium_lunaria,LC,14.755342,0.0661113035908603,92.62176179251303,6.123345412985174
Ophioglossum_vulgatum,LC,138.034292,0.04011825825435417,138.03658296384705,5.537787283892201
Equisetum_fluviatile,LC,182.6308731,0.0358888945047742,182.6308731,6.5544201380007046
Equisetum_telmateia,LC,146.110113,0.02240493270339281,146.11645135934043,3.2737292595645915
Equisetum_palustre,LC,72.41226,0.06543126478562972,88.26029825121215,5.774982944933714
Equisetum_sylvaticum,VU,72.41226,0.21501125513353825,77.23506421322047,16.606408096803957
Equisetum_arvense,LC,141.2553452,0.012246138513979668,141.25535552934195,1.7298326496537655
Equisetum_variegatum,NT,36.4867115,0.15877430177215437,36.4878763153405,5.793337085116917
Equisetum_ramosissimum,LC,10.962229,0.04032818965671967,13.076475324884145,0.5273505769433428
Equisetum_hyemale,LC,10.962229,0.08265242528594263,11.993822767224298,0.991318540160844
Osmunda_regalis,LC,239.282503,0.049214899778689356,239.282503,11.776264403938935
Hymenophyllum_tunbrigense,VU,184.893001,0.26987800849926863,184.893001,49.898554895333284
Salvinia_natans,LC,102.6507885,0.020195498290800837,125.22164498113086,2.5289135171876977
Marsilea_quadrifolia,EX,102.6507885,0.8033224855207327,103.21821901726122,82.91751625196964
Cryptogramma_crispa,LC,65.63161475,0.008667938632877872,65.63173775188174,0.5688918752024449
Anogramma_leptophylla,LC,43.0478835,0.03851051008779359,44.952670600950924,1.7311502746511829
Pteris_vittata,LC,43.0478835,0.08434210426187531,43.91760715117321,3.7041034012763316
Pellaea_calomelanos,CR,68.6046945,0.9656272374098402,68.95361145625509,66.58348533993511
Adiantum_capillus-veneris,LC,68.6046945,0.040172535809208314,76.99161132681442,3.0929482630351006
Asplenium_onopteris,LC,10.5961615,0.09127850915089111,10.611115852492624,0.9685668354429137
Asplenium_viride,LC,5.873305,0.06305588289696182,6.918752612314796,0.4362680545151704
Asplenium_majoricum,VU,5.873305,0.21677558340790873,6.177405771778271,1.3391107401246174
Gymnocarpium_dryopteris,LC,68.787636,0.061983589135243655,69.0644848964205,4.280864655656969
Athyrium_filix-femina,LC,68.787636,0.030777956470900994,69.34518075656943,2.1343029547924552
Polypodium_vulgare,LC,52.6669423,0.04760377510835534,52.666942299999995,2.507145276893927
Polystichum_aculeatum,LC,2.766708,0.06537037051637541,2.903648045942822,0.18981254861243174
Polystichum_setiferum,LC,2.766708,0.007388735428836582,3.978257882659868,0.029394294962657372
Polystichum_lonchitis,LC,21.2997085,0.06568570621010836,21.2997130864217,1.399086696154296
Dryopteris_oreades,LC,3.104893,0.04930017270422098,3.576037871342198,0.17629928465400513
Dryopteris_filix-mas,LC,3.104893,0.020574867098610793,4.233820026092267,0.08711028435628528
Dryopteris_aemula,VU,24.5278495,0.22750447640135574,24.527849500127232,5.580195557777701
Dryopteris_dilatata,LC,7.810822,0.015294481785891547,7.810828161892319,0.11946256905479082
Dryopteris_remota,EN,5.898888,0.39861158965379734,5.898892670417804,2.3513669845523744
Dryopteris_carthusiana,LC,4.935052,0.05492393234042502,4.961809954278741,0.27252211421485295
Dryopteris_expansa,LC,4.935052,0.027726769516477703,4.988056807123324,0.13830270142620607
Abies_alba,LC,29.2252955,0.07789590465878686,82.45773121635932,6.4231195692093985
Abies_pinsapo,VU,29.2252955,0.2554960817653284,45.45485451580183,11.61353722600041
Pinus_pinaster,LC,24.668941,0.06735072654434682,24.669036433061947,1.661477526915684
Pinus_halepensis,LC,22.891591,0.007784584006799903,23.04527621383812,0.17939788864653047
Pinus_pinea,LC,22.891591,0.08600418899199024,22.905501664954205,1.9699690941490684
Taxus_baccata,LC,158.6168027,0.033126059110974625,158.61683349372717,5.254350602308826
Tetraclinis_articulata,VU,47.70367425,0.22041077185057348,47.704329241742016,10.51454802878624
Juniperus_sabina,LC,18.3131835,0.0795147524522582,19.210045994984434,1.5274820518876813
Juniperus_thurifera,LC,18.3131835,0.03045362186847839,20.654901656887493,0.6290165647894594
Nymphaea_alba,LC,243.2696769,0.09149047995725501,243.2696769,22.256859498627353
Ceratophyllum_submersum,LC,172.5186645,0.08121658499026559,172.7511663163861,14.030259781302277
Ceratophyllum_demersum,LC,172.5186645,0.012901072268661277,173.98234156014502,2.2445587619383414
Posidonia_oceanica,NT,59.2657725,0.13327007123692663,59.28686868883577,7.9011652135754575
Ruppia_maritima,LC,9.160422,0.05137954270840722,13.494035280650152,0.6933173620109183
Ruppia_cirrhosa,LC,9.160422,0.08539793053620591,11.767734229193717,1.0049401502732176
Cymodocea_nodosa,VU,32.71355375,0.20823951575456703,33.514871936582686,6.979120702650307
Zostera_marina,VU,20.6094715,0.17182199941445864,24.254428387336556,4.1674443801669705
Zostera_noltii,VU,20.6094715,0.22090068337646165,23.44460885941843,5.178930118539379
Groenlandia_densa,LC,27.477345,0.05960898215746852,28.022192450061674,1.6703743697688755
Zannichellia_palustris,LC,27.477345,0.04990124151991125,28.128186561052335,1.4036314311001945
Potamogeton_polygonifolius,LC,10.835192,0.076017274633677,11.244631812297126,0.8547862646299716
Potamogeton_coloratus,LC,10.835192,0.025057172704751506,12.077331287783643,0.30262377589049366
Potamogeton_natans,LC,13.7178435,0.015376296336593464,13.736419707443542,0.2112152600254744
Potamogeton_berchtoldii,NT,6.086025,0.12973262466951516,6.249381940559737,0.8107487217110827
Potamogeton_pusillus,LC,6.086025,0.02111622979914676,7.089647562283964,0.14970662712014882
Potamogeton_crispus,LC,19.493983,0.022443375323126645,19.493984950958474,0.43751082079774356
Potamogeton_lucens,LC,1.56974,0.011455141172253916,2.0414316930769476,0.02338488823770976
Potamogeton_gramineus,LC,1.56974,0.05296698674405544,1.6717525037522984,0.08854769270558949
Potamogeton_alpinus,CR,9.314769,0.8763383175606896,9.318919118340583,8.166525901650731
Potamogeton_praelongus,CR,3.425465,0.9999,4.05338645847052,4.052981119824673
Potamogeton_perfoliatus,VU,3.425465,0.20959723369276959,6.421013439560975,1.3458266544360757
Potamogeton_nodosus,LC,6.352358,0.01741871772705102,7.182002139367967,0.12510126798072715
Butomus_umbellatus,LC,74.071948,0.025353426062496923,74.23922538295524,1.8822187116838005
Hydrocharis_morsus-ranae,CR,53.431271,0.9999,54.447356992817475,54.4419122571182
Najas_minor,LC,53.431271,0.049021866574865715,74.15639746303647,3.635285022105684
Triglochin_striata,EN,7.7017765,0.5503141156597023,7.925440587652173,4.361481828207317
Triglochin_maritima,LC,7.399916,0.05286342073677071,9.751177679869347,0.5154806083699409
Triglochin_palustris,LC,7.399916,0.07584145699706794,9.038805076853901,0.6855161465410946
Luronium_natans,EN,30.846975,0.404950853353079,30.847969634581133,12.491911627733499
Baldellia_ranunculoides,LC,28.338594,0.02993889608693801,28.355245127227374,0.8489247373837157
Alisma_lanceolatum,LC,23.303356,0.01818728165314937,23.68371226510525,0.4307423455576174
Alisma_plantago-aquatica,LC,23.303356,0.07009521722352711,23.402045280039598,1.640371447379193
Sagittaria_sagittifolia,EX,41.049742,0.7056998697566849,41.05008929379085,28.969042668128484
Tofieldia_pusilla,LC,17.077718,0.06929730391884502,25.96938144850722,1.7996081188216206
Tofieldia_calyculata,LC,17.077718,0.07175301304724879,25.66506894412758,1.841546026806526
Spirodela_polyrrhiza,LC,67.3055808,0.0823927623531217,67.31617537072064,5.54636563984085
Spirodela_punctata,EN,59.05153775,0.35343060778393587,59.06980010738401,20.87707535362833
Lemna_minor,LC,29.22195,0.07727055543881989,30.495713627139132,2.3564207304722293
Lemna_gibba,LC,29.22195,0.046658039657831614,31.33143474665043,1.4618633249459791
Lemna_trisulca,CR,38.9608685,0.9162902481039363,39.029965352124904,35.76277663598657
Wolffia_arrhiza,EN,52.20992733,0.5791767685140491,52.24367277703443,30.2583215743082
Arisarum_vulgare,LC,21.65304417,0.0022897626583433554,21.660149812524235,0.04959660221484082
Arum_maculatum,LC,0.4996935,0.07882592166978926,0.5403589427898022,0.04259429169791908
Arum_italicum,LC,0.4996935,0.06771211473937973,0.5470334925604747,0.03704079461453849
Arum_cylindraceum,LC,0.64105525,0.021709211597342248,0.7539555696683894,0.01636778099692578
Narthecium_ossifragum,LC,137.5339767,0.08683725398678967,137.5339767,11.943072866511113
Veratrum_album,LC,63.717514,0.04519733000748715,67.68072263508454,3.058987956083121
Paris_quadrifolia,LC,63.717514,0.08096298228269733,65.92996274531652,5.337886405647956
Colchicum_autumnale,LC,106.4596803,0.039041993372055876,106.4596803,4.156398132663788
Smilax_aspera,LC,80.58788727,0.039473003149421544,80.58788727,3.1810459280139383
Streptopus_amplexifolius,LC,47.2044493,0.034026319110045736,47.20444930000011,1.6061936552957787
Gagea_lutea,NT,7.56399,0.1012600974615215,7.768557213667734,0.7866448605914006
Gagea_pratensis,LC,7.56399,0.04085083834197659,8.071066398775915,0.3297098287037541
Gagea_bohemica,LC,2.1551445,0.071062720587225,2.160076079563908,0.1535008828891984
Gagea_villosa,LC,0.991297,0.008522501935006912,1.0967025324336754,0.00934664945479298
Gagea_liotardii,LC,0.991297,0.055234734080642674,1.0075606585307877,0.05565234504406527
Erythronium_dens-canis,LC,27.0335727,0.010602210651030137,27.033574038445547,0.2866156466058192
Fritillaria_lusitanica,LC,13.21223383,0.08626011948436942,13.212848200395666,1.1397418644949655
Lilium_pyrenaicum,LC,11.9144675,0.031772739652665215,11.917203575178892,0.37864220658197006
Lilium_bulbiferum,LC,2.928977,0.04330066455148606,3.1017771319820464,0.1343090111054251
Lilium_martagon,LC,2.928977,0.019007585774132387,3.3226282841935944,0.06315514210736807
Gladiolus_communis,LC,4.269658,0.04506026346834569,5.842843353463545,0.2632800609113398
Gladiolus_italicus,LC,4.269658,0.030147566899736605,6.6210300608819415,0.19960794670560547
Iris_lutescens,LC,54.8366775,0.03754351874505844,54.89514323337193,2.0609568389947674
Simethis_mattiazzii,LC,63.130788,0.08893949640849647,63.97666759587371,5.690052597870782
Asphodelus_aestivus,LC,63.130788,0.06769680126696519,64.24209760209698,4.34898451434214
Allium_triquetrum,LC,23.56492558,0.07604734918105312,23.564925635336092,1.7920501282159538
Allium_oleraceum,LC,4.20196,0.08372828815811437,4.326863185068446,0.3622808475801474
Allium_paniculatum,LC,4.20196,0.01956747335904188,4.736414790324002,0.09267967022703684
Allium_schoenoprasum,LC,6.70399025,0.09040770063035786,6.706697239063499,0.6063370762077004
Allium_vineale,LC,3.5708605,0.008346482216489409,3.8612546235590863,0.03222789304887342
Allium_ampeloprasum,LC,3.5708605,0.08332641518423858,3.5999481474488904,0.29997077397605676
Allium_nigrum,LC,17.4477559,0.020259495356981475,17.44775673787059,0.35348274662063145
Lapiedra_martinezii,LC,8.0977455,0.05608831470981283,8.11376384627833,0.4550873400911603
Galanthus_nivalis,LC,8.0977455,0.03521853404041736,8.123255989623408,0.2860891675895762
Pancratium_maritimum,LC,4.606807,0.08370846127564197,4.607594790439611,0.38569467008936387
Sternbergia_colchiciflora,LC,3.388521,0.005430328820773573,3.47091584465991,0.01884821434573636
Sternbergia_lutea,LC,3.388521,0.05766385181678445,3.396280299553237,0.19584260392170214
Narcissus_papyraceus,LC,2.6286905,0.0050795245919753665,2.6292559512251015,0.013355370262845487
Narcissus_elegans,DD,1.300571,0.09111497724614578,1.3068370322311418,0.11907242645616116
Narcissus_serotinus,LC,1.059404,0.0776801672355216,1.0813275458156222,0.08399770459533368
Narcissus_tazetta,LC,1.059404,0.06043032954945996,1.0875856220108362,0.06572315755136923
Narcissus_bulbocodium,LC,2.832343,0.039248330105705144,2.840752258079922,0.11149478237364807
Narcissus_assoanus,LC,0.932485,0.05983531334349891,1.2305086643505951,0.07362787150330818
Narcissus_poeticus,NT,0.932485,0.15396292879581908,1.0483072922859848,0.16140046099836497
Narcissus_dubius,LC,0.6681045,0.07015791127493766,0.7199536439050248,0.050510443871156795
Narcissus_jonquilla,LC,0.625551,0.0704390511305212,0.6873732957861133,0.0484179227276329
Narcissus_viridiflorus,VU,0.625551,0.23923049270610525,0.643753963195139,0.15400557779668106
Aphyllanthes_monspeliensis,LC,70.69266836,0.06669585557578106,70.69266836,4.714907999205147
Ornithogalum_narbonense,LC,43.12360583,0.028435320330902472,43.12360633333099,1.2262335599120013
Brimeura_amethystina,LC,12.1970665,0.08379575136862881,12.199113114693239,1.0222338494766137
Scilla_peruviana,LC,9.222113,0.09015982614246457,9.232178461744423,0.8323716050270832
Hyacinthoides_hispanica,LC,6.287171,0.030057789489720155,6.585297341582626,0.19793948122050434
Hyacinthoides_non-scripta,LC,6.287171,0.09129123889763498,6.385329584819722,0.5829246485679136
Scilla_hyacinthoides,LC,17.6766145,0.029595257368441395,17.759864660458664,0.5256077654549612
Muscari_neglectum,LC,17.6766145,0.03002602297438047,17.758670319608225,0.5332222430110052
Anthericum_ramosum,LC,68.88888742,0.02483337698163639,68.88888742685288,1.7107437113165487
Asparagus_acutifolius,LC,64.8031275,0.00748259004675234,64.80312992645436,0.4848952549860861
Ruscus_aculeatus,LC,44.24527837,0.019698440232472303,44.245893273126256,0.8715750841730259
Maianthemum_bifolium,CR,19.7556305,0.9999,19.759724400336975,19.757748427896942
Polygonatum_multiflorum,LC,4.483367,0.038194018796932516,4.858082514710657,0.18554969488390802
Polygonatum_odoratum,LC,4.483367,0.01751798511155632,5.300349736383294,0.092851447768004
Convallaria_majalis,LC,24.99692483,0.04464177726503319,25.01007360340373,1.1164941351852353
Cypripedium_calceolus,EN,92.17321002,0.3947906911718422,92.17321002,36.38912529132317
Epipogium_aphyllum,CR,85.00530254,0.9252669370848077,85.00530254,78.65259591715322
Epipactis_palustris,LC,27.829981,0.04888245101447688,27.83860722949898,1.3608193542072458
Epipactis_microphylla,LC,25.712233,0.01771387791834839,25.832488911717626,0.45759355490925446
Epipactis_muelleri,LC,25.712233,0.045544296136184013,25.759005015814147,1.1731757526136888
Neottia_nidus-avis,LC,34.2340965,0.05954230111945665,34.23420392844458,2.038383278892333
Cephalanthera_rubra,LC,18.403788,0.021326143068886753,18.42267895771999,0.39288468716450603
Cephalanthera_longifolia,LC,3.908508,0.054584433417960126,4.227757275129161,0.2307697354915842
Cephalanthera_damasonium,LC,3.908508,0.021515181234228572,4.718449622722496,0.10151829877745193
Goodyera_repens,LC,24.784416,0.051247166480376326,25.17646654274077,1.2902225723034608
Spiranthes_spiralis,LC,24.784416,0.01334197557084261,26.29030089132494,0.350764552242159
Gennaria_diphylla,LC,14.41668596,0.05982773431628819,14.416685960000017,0.8625176573362432
Ophrys_lutea,LC,4.8676975,0.06962569091220334,4.886640019919644,0.34023568762612827
Ophrys_sphegodes,LC,1.710894,0.07283608798903801,1.8722537513596487,0.13636763897183787
Ophrys_apifera,LC,1.710894,0.04537886539515782,1.9698871005453202,0.08939124157930381
Neotinea_maculata,LC,8.828743833,0.05350120021768382,8.828743833057096,0.472348391483029
Pseudorchis_albida,LC,7.248157813,0.052010124698646555,7.248157814038204,0.3769775917435964
Gymnadenia_conopsea,LC,3.508263,0.07667769753643051,3.6868579132552934,0.28269977593238477
Platanthera_chlorantha,LC,3.508263,0.07213111935220361,3.6981151312731595,0.2667491839120544
