ext_fraction,Genus,age,mean_age,richness,threatened_species,proportion_threatened,ev.dist,lambda_a,lambda_mean
low_ex,Abies,237.574622,110.51260879957309,1,0,0,279.1588715891962,0,0
low_ex,Acer,68.6625540000001,52.0580688385628,2,2,1,130.75536837172115,0.01009498103667895,0.013314884628345762
low_ex,Achillea,1.52273099999999,1.5114666767495835,5,5,1,63.65710370967923,1.0569417135620873,1.0648186540871707
low_ex,Adenocarpus,2.17569400000005,2.152791491298102,4,3,0.75,64.27221292552954,0.6371734081722239,0.6439519882550145
low_ex,Adonis,69.143839,52.33588195575036,5,5,1,131.09470971927135,0.02327666406307148,0.030752093062936615
low_ex,Aegilops,0.582355999999936,0.5806986800686638,4,4,1,63.72939848645406,2.3804929649905606,2.3872869160921297
low_ex,Aeluropus,1.373386,1.3642142830152728,1,1,1,64.51854881666016,0,0
low_ex,Aethionema,60.7463660000001,47.35108923366989,2,2,1,122.8433627823618,0.011410512697334754,0.014638463270388083
low_ex,Aethusa,8.18432099999999,7.871817004854707,1,0,0,70.31871099756114,0,0
low_ex,Agrimonia,51.745716,41.66669506860409,3,3,1,113.83381348473915,0.02123098052538513,0.02636667695528162
low_ex,Agropyron,2.35723799999994,2.3303843218593516,1,1,1,65.50427834085167,0,0
low_ex,Agrostemma,9.95065399999999,9.493444978704636,1,1,1,72.12071161302072,0,0
low_ex,Agrostis,0.197100999999992,0.19691068775608572,10,9,0.9,63.344147499315106,11.68225982107721,11.693550610347113
low_ex,Aira,1.84360999999999,1.827131221963623,4,4,1,64.99065746435187,0.7519455639315789,0.758727312223386
low_ex,Ajuga,12.6050889999999,11.882474803760672,2,2,1,74.76189441893202,0.05498947136033318,0.058333570405768656
low_ex,Alisma,28.338596,24.977725240628207,2,2,1,91.66295903508504,0.024459475005746415,0.027750612751255975
low_ex,Alkanna,6.9507400000001,6.7236888899057,1,1,1,69.12224916324648,0,0
low_ex,Alliaria,9.01468000000005,8.63738902923237,1,1,1,71.11464677472259,0,0
low_ex,Allium,50.079299,40.573037434071175,21,20,0.9523809523809523,112.87062992066458,0.06079403063775759,0.07503807036065749
low_ex,Alnus,27.2796259999999,24.14881887766254,1,1,1,89.36864755162404,0,0
low_ex,Alopecurus,1.25720600000005,1.2495147827291413,2,2,1,64.40425219079904,0.5513393831718252,0.5547330773038157
low_ex,Althaea,4.92650800000004,4.811050230355036,4,4,1,67.02055929653396,0.281394927425243,0.2881479707638778
low_ex,Alyssum,4.5234930000001,4.42591397222471,11,11,1,66.62348625593167,0.5300981504333748,0.5417853324413026
low_ex,Amaranthus,38.4492610000001,32.552705627886766,2,2,1,100.62068327935097,0.01802758135091188,0.021293074329469877
low_ex,Ammi,12.6607730000001,11.93198973050502,2,2,1,74.79516338059304,0.05474761932466049,0.05809149992711299
low_ex,Ammoides,14.8405290000001,13.85134235116866,1,1,1,76.97491993886479,0,0
low_ex,Ammophila,0.385418999999936,0.38469216344116,1,1,1,63.53246561685497,0,0
low_ex,Anabasis,18.4503540000001,16.951239824396588,1,1,1,80.62328240707684,0,0
low_ex,Anacyclus,1.52273099999999,1.5114666767495835,3,3,1,63.65710370967923,0.7214749608881128,0.7268518092841325
low_ex,Anagallis,19.2413990000001,17.617871765114884,4,4,1,81.40487859555483,0.07204748267627958,0.07868682322145683
low_ex,Anagyris,30.7768220000001,26.859794937103807,1,1,1,92.87293402309243,0,0
low_ex,Anarrhinum,4.62010899999999,4.518376978408315,2,2,1,66.77767912068842,0.15002831763491875,0.15340623057178368
low_ex,Anchusa,3.7200900000001,3.653769405684113,4,4,1,65.89196172707983,0.3726507587504209,0.3794148472980407
low_ex,Androcymbium,106.459684,71.30634040616938,1,1,1,169.22738554677187,0,0
low_ex,Andropogon,0.0953879999999924,0.09534339772312558,1,1,1,63.24074938864248,0,0
low_ex,Androsace,29.29965,25.723928037775423,3,3,1,91.4626812822919,0.0374957478559679,0.04270779668854635
low_ex,Andryala,13.1294690000001,12.347797466363257,5,5,1,75.26385361007009,0.12258210232524164,0.13034210488294645
low_ex,Anemone,23.681202,21.27850625967538,2,2,1,85.64772990578493,0.02926993235224907,0.032574992440776704
low_ex,Anogramma,43.047887,35.80765655326998,1,1,1,97.50451701928634,0,0
low_ex,Antennaria,0.672502000000052,0.6702931359724388,1,1,1,62.806867836389486,0,0
low_ex,Anthemis,1.51546399999999,1.5043064266615798,2,2,1,63.64983620989581,0.4573828085391338,0.46077525713840545
low_ex,Anthericum,68.888891,52.18883425872284,2,2,1,131.67040714392473,0.010061813603008143,0.013281522578636495
low_ex,Anthoxanthum,0.835099999999933,0.8316973831266157,4,4,1,63.9821459382489,1.6600339613459487,1.6668254454623483
low_ex,Anthriscus,12.1240300000001,11.453694024663058,2,2,1,74.25842293500612,0.057171351486258244,0.060517347422360195
low_ex,Anthyllis,4.70452500000011,4.599095578465279,15,14,0.9333333333333333,66.80059089772726,0.5756267000605049,0.5888223358049645
low_ex,Antirrhinum,2.05869100000005,2.038170575379959,7,6,0.8571428571428571,64.2162731356913,0.9452172030942313,0.9547337070610754
low_ex,Apera,0.267269000000047,0.26691922164776255,1,1,1,63.41431492681854,0,0
low_ex,Aphanes,38.2883740000001,32.43675841289586,4,4,1,100.37648608603538,0.03620666579155038,0.04273837550205826
low_ex,Aphyllanthes,70.692672,53.22360598786335,1,1,1,133.47393768607256,0,0
low_ex,Apium,8.39728200000005,8.068715028824021,3,3,1,70.53170322835976,0.13082950991381534,0.1361570317880253
low_ex,Aquilegia,56.0565660000001,44.43518730742245,3,2,0.6666666666666666,118.02021586067762,0.019598280220520604,0.02472392613240088
low_ex,Arabidopsis,4.17783300000016,4.0944213962570055,1,1,1,66.27778524012756,0,0
low_ex,Arabis,5.9113610000001,5.746112769251549,10,9,0.9,68.01136050969095,0.3895186054436545,0.4007204845187829
low_ex,Arbutus,43.7468530000001,36.292588810300494,1,1,1,105.90471018387066,0,0
low_ex,Arctium,1.76858399999999,1.753412033183855,1,1,1,63.90308727447042,0,0
low_ex,Arenaria,14.708948,13.736515079786574,27,26,0.9629629629629629,76.87897889164357,0.22407019631888897,0.2399325336055713
low_ex,Argyrolobium,3.76328499999999,3.6954333132271446,1,1,1,65.85980081410685,0,0
low_ex,Arisarum,21.6530469999999,19.62305710258844,3,2,0.6666666666666666,85.32713108056495,0.050737075879811036,0.055985786665381204
low_ex,Aristolochia,147.06522,87.21044266228475,3,3,1,208.53212233131487,0.007470238637443372,0.012597256190091768
low_ex,Armeria,30.1179260000001,26.354783449781497,17,7,0.4117647058823529,92.26893514834072,0.09407066555831921,0.10750281251427644
low_ex,Arnoseris,3.63314499999999,3.569854464416269,1,1,1,65.76762285170646,0,0
low_ex,Arrhenatherum,0.968360999999936,0.9637896353172702,5,3,0.6,64.1154078957764,1.662022646961419,1.6699058108300666
low_ex,Artemisia,4.63646900000005,4.534025424873101,11,9,0.8181818181818182,66.77084214385482,0.5171813448549629,0.5288667460142183
low_ex,Arthrocnemum,9.4141760000001,9.003661196915935,1,1,1,71.58721920679571,0,0
low_ex,Arum,21.6530469999999,19.62305710258844,2,2,1,85.32713108056495,0.032011530781785515,0.035323098584293146
low_ex,Asparagus,64.8031310000001,49.79606147881863,4,4,1,127.58489676890949,0.021392397862996595,0.027839437898307843
low_ex,Asperula,5.81048200000005,5.6507287681343525,3,3,1,67.97353989954415,0.18907420910487294,0.19441957555340744
low_ex,Asphodelus,75.6259110000001,55.98821864367759,8,8,1,138.40261558792534,0.027496416429017734,0.037140698383599215
low_ex,Asplenium,29.13178,25.593998954561208,12,11,0.9166666666666666,82.72242951407802,0.0852988265663135,0.09708942530628475
low_ex,Astragalus,26.5909410000001,23.605949701186013,32,23,0.71875,88.68686944050437,0.13033521088252248,0.14681620297723505
low_ex,Atractylis,21.760239,19.711248409833942,2,2,1,83.89490545311986,0.03185384041783481,0.035165057339246665
low_ex,Atriplex,19.265671,17.63825591753148,6,6,1,81.43874892120975,0.09300270253904236,0.10158370972762347
low_ex,Atropa,3.413843,3.357887098291159,2,0,0,65.5725879260205,0.2030401458297717,0.2064236111192334
low_ex,Avena,0.968360999999936,0.9637896353172702,8,4,0.5,64.1154078957764,2.147382579100122,2.157567860745155
low_ex,Baldellia,28.338596,24.977725240628207,1,1,1,91.66295903508504,0,0
low_ex,Ballota,0.674276999999936,0.6720564853430665,2,2,1,62.8310877902232,1.0279857989520793,1.0313823252611163
low_ex,Barbarea,7.7674820000001,7.485307123554903,1,1,1,69.86743187062828,0,0
low_ex,Bartsia,3.54486299999994,3.484578207237885,1,1,1,65.7017421699851,0,0
low_ex,Bassia,13.1911800000002,12.4024171017972,3,3,1,75.36418865570356,0.08328385244292726,0.08858049843436672
low_ex,Bellis,6.49633700000005,6.297463935723132,6,5,0.8333333333333334,68.63072233253399,0.27581073291426245,0.28452079877172154
low_ex,Berberis,124.400454,78.86301259914437,1,1,1,186.25584516215204,0,0
low_ex,Berula,8.39728200000005,8.068715028824021,1,1,1,70.53170322835976,0,0
low_ex,Betula,22.3660599999999,20.208210026272482,1,0,0,84.45515627669499,0,0
low_ex,Bituminaria,41.7355920000001,34.890305523768816,1,1,1,103.83136926956146,0,0
low_ex,Blackstonia,14.217143,13.30616268170228,3,3,1,76.37736356820082,0.07727377354705582,0.0825641708243088
low_ex,Blechnum,68.787639,52.13036185213131,1,1,1,122.03334124064051,0,0
low_ex,Bolboschoenus,4.1690530000001,4.085987162228916,1,1,1,67.2718232178268,0,0
low_ex,Bombycilaena,0.415091000000052,0.41424810100037424,2,2,1,62.549456844060934,1.6698680061958906,1.6732658010647563
low_ex,Borago,3.7200900000001,3.653769405684113,1,1,1,65.89196172707983,0,0
low_ex,Botrychium,92.38551,64.70992848925675,1,1,1,182.14206882354432,0,0
low_ex,Brachiaria,0.88026199999999,0.8764824829298713,1,1,1,64.02560456472382,0,0
low_ex,Brachypodium,5.36245399999999,5.226019040104657,4,4,1,68.50941285935815,0.2585186485739352,0.26526775935591085
low_ex,Brassica,0.241707000000101,0.24142088237036488,10,10,1,62.34169667706328,9.526348401134777,9.537638461040995
low_ex,Briza,5.80934799999999,5.649656028793931,3,3,1,68.9562527966131,0.18911111688749094,0.19445649134548068
