Genus,Epithet,Status,threat_category,species
Abies,pinsapo,EN,threatened,Abies pinsapo
Acer,monspessulanum,NT,not_threatened,Acer monspessulanum
Acer,opalus granatense,NT,not_threatened,Acer opalus granatense
Aceras,anthropophorum,LC,not_threatened,Aceras anthropophorum
Achillea,ageratum,LC,not_threatened,Achillea ageratum
Achillea,ligustica,NT,not_threatened,Achillea ligustica
Achillea,maritima,VU,threatened,Achillea maritima
Achillea,millefolium,NT,not_threatened,Achillea millefolium
Achillea,odorata,LC,not_threatened,Achillea odorata
Achnatherum,bromoides,LC,not_threatened,Achnatherum bromoides
Achnatherum,calamagrostis,VU,threatened,Achnatherum calamagrostis
Acinos,alpinus,LC,not_threatened,Acinos alpinus
Acinos,arvensis,LC,not_threatened,Acinos arvensis
Acinos,rotundifolius,LC,not_threatened,Acinos rotundifolius
Aconitum,burnatii,VU,threatened,Aconitum burnatii
Aconitum,vulparia neapolitanum,NT,not_threatened,Aconitum vulparia neapolitanum
Adenocarpus,argyrophyllus,DD,not_threatened,Adenocarpus argyrophyllus
Adenocarpus,complicatus,LC,not_threatened,Adenocarpus complicatus
Adenocarpus,decorticans,LC,not_threatened,Adenocarpus decorticans
Adenocarpus,telonensis,LC,not_threatened,Adenocarpus telonensis
Adiantum,capillusveneris,NT,not_threatened,Adiantum capillusveneris
Adonis,aestivalis squarrosa,LC,not_threatened,Adonis aestivalis squarrosa
Adonis,annua,LC,not_threatened,Adonis annua
Adonis,flammea,LC,not_threatened,Adonis flammea
Adonis,microcarpa,LC,not_threatened,Adonis microcarpa
Adonis,vernalis,VU,threatened,Adonis vernalis
Aegilops,geniculata,LC,not_threatened,Aegilops geniculata
Aegilops,neglecta,LC,not_threatened,Aegilops neglecta
Aegilops,triuncialis,LC,not_threatened,Aegilops triuncialis
Aegilops,ventricosa,LC,not_threatened,Aegilops ventricosa
Aegonychon,purpurocaeruleum,DD,not_threatened,Aegonychon purpurocaeruleum
Aeluropus,littoralis,NT,not_threatened,Aeluropus littoralis
Sonchus,bulbosus bulbosus,LC,not_threatened,Sonchus bulbosus bulbosus
Aethionema,marginatum,LC,not_threatened,Aethionema marginatum
Aethionema,saxatile,LC,not_threatened,Aethionema saxatile
Aethusa,cynapium cynapium,DD,not_threatened,Aethusa cynapium cynapium
Agrimonia,eupatoria eupatoria,LC,not_threatened,Agrimonia eupatoria eupatoria
Agrimonia,eupatoria grandis,LC,not_threatened,Agrimonia eupatoria grandis
Agrimonia,procera,NT,not_threatened,Agrimonia procera
Agropyron,cristatum pectinatum,NT,not_threatened,Agropyron cristatum pectinatum
Agrostemma,githago,LC,not_threatened,Agrostemma githago
Agrostis,canina granatensis,VU,threatened,Agrostis canina granatensis
Agrostis,castellana,LC,not_threatened,Agrostis castellana
Agrostis,curtisii,NT,not_threatened,Agrostis curtisii
Agrostis,nevadensis,LC,not_threatened,Agrostis nevadensis
Agrostis,schleicheri,CR,threatened,Agrostis schleicheri
Agrostis,stolonifera,LC,not_threatened,Agrostis stolonifera
Aira,caryophyllea caryophyllea,LC,not_threatened,Aira caryophyllea caryophyllea
Aira,caryophyllea multiculmis,LC,not_threatened,Aira caryophyllea multiculmis
Aira,cupaniana,LC,not_threatened,Aira cupaniana
Aira,uniaristata,LC,not_threatened,Aira uniaristata
Airopsis,tenella,LC,not_threatened,Airopsis tenella
Aizoon,hispanicum,LC,not_threatened,Aizoon hispanicum
Ajuga,chamaepitys,LC,not_threatened,Ajuga chamaepitys
Ajuga,iva,LC,not_threatened,Ajuga iva
Alchemilla,filicaulis,DD,not_threatened,Alchemilla filicaulis
Alchemilla,fontqueri,CR,threatened,Alchemilla fontqueri
Alchemilla,glabra,DD,not_threatened,Alchemilla glabra
Alchemilla,saxatilis,DD,not_threatened,Alchemilla saxatilis
Alchemilla,straminea,DD,not_threatened,Alchemilla straminea
Alisma,lanceolatum,LC,not_threatened,Alisma lanceolatum
Alisma,plantagoaquatica,NT,not_threatened,Alisma plantagoaquatica
Alkanna,tinctoria,LC,not_threatened,Alkanna tinctoria
Alliaria,petiolata,LC,not_threatened,Alliaria petiolata
Allium,ampeloprasum,LC,not_threatened,Allium ampeloprasum
Allium,baeticum,LC,not_threatened,Allium baeticum
Allium,chamaemoly longicaulis,LC,not_threatened,Allium chamaemoly longicaulis
Allium,guttatum sardoum,LC,not_threatened,Allium guttatum sardoum
Allium,melananthum,LC,not_threatened,Allium melananthum
Allium,moly,DD,not_threatened,Allium moly
Allium,neapolitanum,LC,not_threatened,Allium neapolitanum
Allium,nigrum,LC,not_threatened,Allium nigrum
Allium,oleraceum,LC,not_threatened,Allium oleraceum
Allium,paniculatum paniculatum,LC,not_threatened,Allium paniculatum paniculatum
Allium,roseum,LC,not_threatened,Allium roseum
Allium,rouyi,LC,not_threatened,Allium rouyi
Allium,schoenoprasum,VU,threatened,Allium schoenoprasum
Allium,scorodoprasum rotundum,LC,not_threatened,Allium scorodoprasum rotundum
Allium,scorzonerifolium,LC,not_threatened,Allium scorzonerifolium
Allium,sphaerocephalon sphaerocephalon,LC,not_threatened,Allium sphaerocephalon sphaerocephalon
Allium,stearnii,LC,not_threatened,Allium stearnii
Allium,subhirsutum,LC,not_threatened,Allium subhirsutum
Allium,subvillosum,LC,not_threatened,Allium subvillosum
Allium,triquetrum,LC,not_threatened,Allium triquetrum
Allium,vineale,LC,not_threatened,Allium vineale
Alnus,glutinosa,LC,not_threatened,Alnus glutinosa
Alopecurus,arundinaceus,LC,not_threatened,Alopecurus arundinaceus
Alopecurus,myosuroides,NT,not_threatened,Alopecurus myosuroides
Althaea,cannabina,LC,not_threatened,Althaea cannabina
Althaea,hirsuta,LC,not_threatened,Althaea hirsuta
Althaea,longiflora,LC,not_threatened,Althaea longiflora
Althaea,officinalis,LC,not_threatened,Althaea officinalis
Althenia,orientalis betpakdalensis,VU,threatened,Althenia orientalis betpakdalensis
Althenia,orientalis orientalis,VU,threatened,Althenia orientalis orientalis
Alyssum,alyssoides,LC,not_threatened,Alyssum alyssoides
Alyssum,atlanticum,NT,not_threatened,Alyssum atlanticum
Alyssum,gadorense,VU,threatened,Alyssum gadorense
Alyssum,granatense,LC,not_threatened,Alyssum granatense
Alyssum,linifolium,LC,not_threatened,Alyssum linifolium
Alyssum,minutum,LC,not_threatened,Alyssum minutum
Alyssum,montanum montanum,LC,not_threatened,Alyssum montanum montanum
Alyssum,nevadense,VU,threatened,Alyssum nevadense
Alyssum,serpyllifolium,LC,not_threatened,Alyssum serpyllifolium
Alyssum,simplex,LC,not_threatened,Alyssum simplex
Alyssum,strigosum,LC,not_threatened,Alyssum strigosum
Amaranthus,blitum blitum,LC,not_threatened,Amaranthus blitum blitum
Amaranthus,graecizans sylvestris,LC,not_threatened,Amaranthus graecizans sylvestris
Amelanchier,ovalis,LC,not_threatened,Amelanchier ovalis
Ammi,majus,LC,not_threatened,Ammi majus
Ammi,visnaga,LC,not_threatened,Ammi visnaga
Ammochloa,palestina,VU,threatened,Ammochloa palestina
Ammoides,pusilla,LC,not_threatened,Ammoides pusilla
Ammophila,arenaria arundinacea,LC,not_threatened,Ammophila arenaria arundinacea
Anabasis,articulata,LC,not_threatened,Anabasis articulata
Anacamptis,pyramidalis,LC,not_threatened,Anacamptis pyramidalis
Anacyclus,clavatus,LC,not_threatened,Anacyclus clavatus
Anacyclus,radiatus radiatus,LC,not_threatened,Anacyclus radiatus radiatus
Anacyclus,valentinus,LC,not_threatened,Anacyclus valentinus
Anagallis,arvensis,LC,not_threatened,Anagallis arvensis
Anagallis,foemina,LC,not_threatened,Anagallis foemina
Anagallis,monelli,LC,not_threatened,Anagallis monelli
Anagallis,tenella,LC,not_threatened,Anagallis tenella
Anagyris,foetida,LC,not_threatened,Anagyris foetida
Anarrhinum,bellidifolium,LC,not_threatened,Anarrhinum bellidifolium
Anarrhinum,laxiflorum,LC,not_threatened,Anarrhinum laxiflorum
Anchusa,azurea,LC,not_threatened,Anchusa azurea
Anchusa,puechii,VU,threatened,Anchusa puechii
Anchusa,undulata granatensis,LC,not_threatened,Anchusa undulata granatensis
Anchusa,undulata undulata,LC,not_threatened,Anchusa undulata undulata
Androcymbium,gramineum,VU,threatened,Androcymbium gramineum
Andropogon,distachyos,LC,not_threatened,Andropogon distachyos
Androsace,maxima,LC,not_threatened,Androsace maxima
Androsace,vandellii,NT,not_threatened,Androsace vandellii
Androsace,vitaliana nevadensis,VU,threatened,Androsace vitaliana nevadensis
Andryala,agardhii,VU,threatened,Andryala agardhii
Andryala,arenaria,LC,not_threatened,Andryala arenaria
Andryala,integrifolia,LC,not_threatened,Andryala integrifolia
Andryala,ragusina,LC,not_threatened,Andryala ragusina
Andryala,rothia,LC,not_threatened,Andryala rothia
Anemone,coronaria,LC,not_threatened,Anemone coronaria
Anemone,palmata,LC,not_threatened,Anemone palmata
Anogramma,leptophylla,LC,not_threatened,Anogramma leptophylla
Antennaria,dioica,VU,threatened,Antennaria dioica
Anthemis,cotula,LC,not_threatened,Anthemis cotula
Anthemis,pedunculata pedunculata,LC,not_threatened,Anthemis pedunculata pedunculata
Anthericum,baeticum,LC,not_threatened,Anthericum baeticum
Anthericum,liliago,NT,not_threatened,Anthericum liliago
Anthoxanthum,aristatum aristatum,LC,not_threatened,Anthoxanthum aristatum aristatum
Anthoxanthum,aristatum macranthum,LC,not_threatened,Anthoxanthum aristatum macranthum
Anthoxanthum,odoratum,LC,not_threatened,Anthoxanthum odoratum
Anthoxanthum,ovatum,LC,not_threatened,Anthoxanthum ovatum
Anthriscus,caucalis,LC,not_threatened,Anthriscus caucalis
Anthriscus,sylvestris,LC,not_threatened,Anthriscus sylvestris
