Sim1,Sim2,Sim3,Sim4,Sim5,Sim6,Sim7,Sim8,Sim9,Sim10,Sim11,Sim12,Sim13,Sim14,Sim15,Sim16,Sim17,Sim18,Sim19,Sim20,Sim21,Sim22,Sim23,Sim24,Sim25,Sim26,Sim27,Sim28,Sim29,Sim30,Sim31,Sim32,Sim33,Sim34,Sim35,Sim36,Sim37,Sim38,Sim39,Sim40,Sim41,Sim42,Sim43,Sim44,Sim45,Sim46,Sim47,Sim48,Sim49,Sim50,Sim51,Sim52,Sim53,Sim54,Sim55,Sim56,Sim57,Sim58,Sim59,Sim60,Sim61,Sim62,Sim63,Sim64,Sim65,Sim66,Sim67,Sim68,Sim69,Sim70,Sim71,Sim72,Sim73,Sim74,Sim75,Sim76,Sim77,Sim78,Sim79,Sim80,Sim81,Sim82,Sim83,Sim84,Sim85,Sim86,Sim87,Sim88,Sim89,Sim90,Sim91,Sim92,Sim93,Sim94,Sim95,Sim96,Sim97,Sim98,Sim99,step
22779.01056426594,22748.867256695954,22730.937401759,22675.545001223953,22730.937401759,22730.937401759,22808.660545282284,22730.937401759,22730.937401759,22748.867256695954,22730.937401759,22764.614928094787,22730.937401759,22748.867256695954,22730.62988368954,22730.62988368954,22730.62988368954,22730.937401759,22730.937401759,22730.937401759,22730.937401759,22748.867256695954,22786.896588961026,22730.937401759,22730.62988368954,22730.937401759,22730.937401759,22748.867256695954,22759.496122493594,22759.496122493594,22748.867256695954,22730.62988368954,22759.496122493594,22730.62988368954,22730.937401759,22748.867256695954,22748.867256695954,22730.937401759,22730.937401759,22730.937401759,22730.937401759,22804.642244700342,22730.937401759,22730.937401759,22748.867256695954,22730.937401759,22730.937401759,22748.867256695954,22748.867256695954,22730.937401759,22779.01056426594,22730.937401759,22730.62988368954,22730.937401759,22730.937401759,22730.937401759,22748.867256695954,22786.896588961026,22748.867256695954,22649.179129076332,22730.937401759,22730.937401759,22730.937401759,22730.937401759,22730.62988368954,22730.937401759,22779.01056426594,22748.867256695954,22730.937401759,22786.896588961026,22748.867256695954,22730.937401759,22730.937401759,22730.937401759,22730.62988368954,22730.62988368954,22748.867256695954,22730.62988368954,22794.256820944785,22804.642244700342,22730.937401759,22730.937401759,22730.937401759,22730.937401759,22730.937401759,22730.937401759,22730.937401759,22730.937401759,22730.937401759,22730.937401759,22742.776338080897,22779.01056426594,22730.937401759,22730.937401759,22748.867256695954,22730.937401759,22730.62988368954,22748.867256695954,22779.01056426594,1
22714.22341436711,22714.22341436711,22647.912878853756,22610.75785132512,22704.179584125242,22647.912878853756,22789.262959632284,22616.192238104835,22696.293559430156,22666.15025186017,22536.16212192605,22681.897923259003,22704.179584125242,22714.22341436711,22665.84273379071,22647.912878853756,22647.912878853756,22536.16212192605,22704.179584125242,22726.78571772567,21961.203239259,22714.22341436711,22722.109439062195,22721.92523986456,22647.912878853756,22725.9435404465,22676.77911765781,22665.84273379071,22740.098536843594,22676.77911765781,22666.15025186017,22647.912878853756,22676.77911765781,22665.84273379071,22666.15025186017,22584.391979177504,22722.109439062195,22647.912878853756,22666.15025186017,22666.15025186017,22666.15025186017,22721.92523986456,22666.15025186017,22666.15025186017,22666.15025186017,22592.82799638817,22647.912878853756,22677.989188182066,22666.15025186017,22647.912878853756,22644.903391858796,22711.539816109,22647.912878853756,22696.293559430156,22647.912878853756,22696.293559430156,22666.15025186017,22783.76602100269,22666.15025186017,22566.46212424055,22696.293559430156,22725.9435404465,22666.15025186017,22676.77911765781,22647.912878853756,22711.539816109,22695.986041360695,22666.15025186017,22711.539816109,22704.179584125242,22747.85091835786,22563.38736739716,22721.92523986456,22704.179584125242,22665.84273379071,22665.84273379071,22666.15025186017,22665.84273379071,22711.539816109,22721.92523986456,22704.179584125242,22536.16212192605,22718.845301509,22704.179584125242,22696.293559430156,22696.293559430156,22696.293559430156,22647.912878853756,22647.912878853756,22724.70202022329,22659.751815175652,22708.132495752052,22666.15025186017,22647.912878853756,22666.15025186017,22704.179584125242,22665.84273379071,22610.75785132512,22777.994225927843,2
22631.506409531325,22654.44461459211,22583.125728954925,22528.040846489337,22604.650902625242,22627.71707785376,22724.475809733456,22551.405088206004,22631.506409531325,22611.991967758982,22471.374972027217,22647.254080930157,22639.39243422641,22682.361295075443,22661.691049757377,22621.155061219997,22583.125728954925,22516.134127967714,22552.393453508575,22692.14187539682,21896.416089360173,22710.00662544211,22639.39243422641,22657.138089965727,22583.125728954925,22661.156390547672,22593.754594752565,22656.830571896266,22657.07401393835,22593.754594752565,22583.125728954925,22548.384197353756,22593.754594752565,22631.198891461863,22583.125728954925,22501.67497434172,22716.50706960386,22593.754594752565,22639.39243422641,22501.67497434172,22661.99856782684,22638.900716959313,22616.809463360172,22501.67497434172,22583.125728954925,22538.669712286977,22509.803473482923,22595.272183346282,22501.67497434172,22483.437601335303,22640.179748858798,22709.900379609,22613.26903652491,22655.067356715317,22613.26903652491,22613.26903652491,22583.125728954925,22783.039077288406,22661.933462935172,22539.70430660679,22629.225590180155,22708.486178708405,22631.506409531325,22535.43098750543,22593.754594752565,22676.895973780156,22613.26903652491,22583.125728954925,22709.900379609,22639.39243422641,22665.133913522077,22498.60021749833,22657.138089965727,22689.229874668097,22583.125728954925,22501.36745627226,22646.75266621017,22583.125728954925,22516.76453627605,22527.149960031602,22639.39243422641,22471.374972027217,22684.201459180156,22639.39243422641,22631.506409531325,22642.135275328965,22695.27722109206,22583.125728954925,22583.125728954925,22641.677497318044,22594.96466527682,22643.34534585322,22646.75266621017,22632.963169396615,22611.991967758982,22669.535741796393,22634.739474069876,22593.300489587025,22695.27722109206,3
22622.49424763688,22627.686796958347,22562.957589454927,22468.26204671434,22600.43411370024,22586.490875138916,22641.758804897672,22497.246804104816,22616.556700074183,22477.884795351838,22400.49690351333,22588.290933730157,22635.17564530141,22599.64429023966,22466.915769924424,22506.40989756583,22568.176019497783,22433.10960506247,22498.235169407384,22637.983591295633,21825.53802084628,22595.26146178794,22619.99484857641,22602.979805864536,22512.247660441037,22643.699028809577,22544.847534565066,22574.11356706048,22574.357009102565,22559.11075242372,22441.777598802546,22483.597047454925,22551.276245456138,22548.48188662608,22534.086250454926,22434.60700509172,22709.14904060386,22574.357009102565,22444.617154393454,22430.79690582783,22635.240750193076,22574.11356706048,22596.64132386017,22386.929810687554,22452.136865956272,22496.19136299055,22490.405887832923,22512.247660441037,22474.917156707957,22356.846185310304,22557.462744023014,22568.55224945662,22548.48188662608,22590.280206816486,22445.71900216307,22609.117352491576,22468.38056530076,22718.251927389574,22591.05539442128,22474.917156707957,22564.438440281327,22689.088593058408,22600.403149810492,22531.21419858043,22559.11075242372,22612.108823881324,22418.493756691954,22468.38056530076,22705.74869557567,22505.285261819266,22582.10939061683,22415.575694593084,22636.969950465726,22685.0130857431,22574.11356706048,22333.817421910415,22592.594382108982,22528.967444853737,22498.017006942715,22507.752374381602,22604.748591897565,22388.350449121972,22601.17693627491,22635.240750193076,22548.48188662608,22447.359995496012,22668.5194034583,22574.11356706048,22548.48188662608,22640.661158979947,22512.247660441037,22560.628341017436,22612.108823881324,22568.176019497783,22607.290215967314,22637.673622504728,22552.022469234093,22544.393429399526,22500.501941259106,4
22621.235803136882,22544.969792122563,22542.929595496593,22397.38397820045,22568.571994408576,22551.84703281007,22587.60052079648,22397.718122604812,22597.159114424183,22405.51846946436,22388.40480326333,22579.27877183571,22552.151122396164,22458.296160087277,22384.198765088637,22465.183694850988,22430.06661412695,22291.761474910087,22463.59132707854,22573.1964413968,21759.784582779615,22512.544456952157,22562.25594745141,22576.221988230776,21742.513497941036,22633.124901809577,22527.39017282697,22573.09722872239,22542.4948898109,22501.37185129872,22277.302321284093,22448.95320512608,22478.90991956866,22353.706606793126,22507.328432821167,22368.70985531394,22626.432035768077,22409.881731584115,22427.159792655362,22347.772382922587,22627.679772309744,22566.55258917715,22591.038954401836,22386.202866973268,22337.391702302102,22461.547520661705,22432.66698670792,22477.60381811219,22474.19021299367,22156.870821060304,22499.723842898013,22541.79443182286,22479.807245479686,22577.191804191483,22349.85120116307,22566.63900319515,22441.622747667,22647.373858875686,22531.276594646282,22391.892633802712,22481.41391737608,22624.301443159577,22533.33518056049,22527.0625145471,22494.32360252489,22417.33354404837,22353.706606793126,22433.736722971913,22510.973415742712,22502.539304972044,22451.120527618175,22396.178108943084,22617.572364815725,22614.135017229208,22379.33828722753,22314.419836260415,22492.806455150647,22494.32360252489,22414.99248403747,22376.763511382946,22600.531802972564,22317.472380608084,22536.38978637608,22535.712068693076,22544.330202592748,22442.658243704343,22666.4805519583,22554.71598141048,22494.32360252489,22627.572756354948,22485.489842807277,22477.60381811219,22593.36129454799,22533.532177168938,22604.15964800898,22618.276036854728,22497.8641851329,22461.676424563742,22400.71401430077,5
22600.673409220213,22461.945269217318,22508.285753167747,22393.16718927545,22503.784844509744,22502.506244310072,22392.825240963528,22380.26076086672,22463.05194201704,22396.506307569914,22250.295397892496,22496.254248930465,22481.273053882276,22452.693790628946,22383.182426750544,22400.39654495216,22359.188545613062,22192.232793410087,22325.481921707706,22570.06664111347,21725.14074045077,22508.392772918825,22530.393828159744,22541.57814590193,21611.524634942383,22625.727581309577,22467.611373051972,22571.457792222387,22401.146759658517,22429.00552541124,22143.195148876952,22389.17440535108,22460.162390235328,22299.548322691935,22441.5749947545,22355.775166797273,22563.823144351412,22392.54387141745,22327.631111155362,22328.374797272587,22623.462983384743,22547.15500352715,22571.64136875184,22366.805281323268,22320.053842135436,22403.808619536703,22423.65482481348,22468.591656217748,22454.79262734367,22114.392471763877,22434.93669299918,22477.00728192403,22462.34988374159,22569.630826308152,22285.06405126424,22467.11032169515,22289.836617050332,22564.656854039902,22448.252071741037,22207.78593046938,22454.65609974232,22553.42337464569,22532.608236846205,22492.41867221825,22493.596658810606,22334.309021143126,22322.603347072294,22299.629550564772,22446.186265843884,22471.436045251212,22446.126666305674,22361.53426661424,22614.442564532394,22549.34786733038,22373.735917769194,22306.858858377083,22354.697049779814,22356.214197154055,22350.205334138638,22342.1196690541,22581.134217322564,22282.82853827924,22530.04706837608,22371.236791174626,22478.576764526082,22377.871093805512,22601.69340205947,22551.58618112715,22485.311440630445,22512.82759270078,22443.011493510847,22378.07513661219,22533.582494772993,22529.315388243936,22521.135125103738,22535.251513949483,22425.497859245424,22272.71430003595,22259.365884148392,6
22573.915591586454,22454.384291333987,22448.506953392745,22358.523346946604,22369.6776721026,22402.977562810072,22309.800718058283,22322.52185974172,22458.83515309204,22313.481784664673,22246.078608967495,22487.5074286638,22462.525524548942,22403.786730441443,22356.424609116784,22391.384383057713,22317.96234289822,22027.757515891637,22293.619802416037,22487.042118208225,21667.40183932577,22425.36825001358,22495.7499858309,22528.48974327693,21459.738504325716,22621.57589727624,22402.82422315314,22554.00043048429,22336.35960975969,22411.548163673146,22028.449985222785,22266.44713135108,22451.15022834088,22168.55945969328,22436.581133442,22345.28642218142,22554.810982456966,22365.786053783686,22318.618949260916,22293.730954943738,22455.912949022902,22515.29288423548,22567.489684718505,22363.675481039932,22155.578564616986,22320.784096631458,22392.551565092646,22368.803729259413,22437.335265605576,22049.605321865045,22425.39116711823,22422.84899782284,22328.242711334446,22510.28504041232,22280.847262339237,22315.324191078482,22258.7333573295,22533.55359431907,22280.702037379197,22013.010650636425,22259.880819909366,22522.320114924853,22523.59607495176,22420.052346330773,22474.199073160606,22247.489809393126,22251.725278558402,22104.854270731816,22388.447364718882,22449.453428001212,22445.399722591388,22290.65619810035,22595.69503519906,22540.335705435933,22339.09207544035,22297.846696482637,22326.188747529814,22347.202035259612,22182.655299776798,22319.0644740541,22576.140356010066,22273.81637638479,22365.57179085763,22229.888661022243,22420.83786340108,22360.413732067416,22463.583996688634,22485.23390862715,22412.945114742968,22451.27282661745,22425.554131772755,22369.062974717748,22444.16453818966,22442.496176493936,22490.0318653829,22470.464364050655,22400.052710995424,22238.070457707105,22192.29791489839,7
22490.89106868121,22435.917618833988,22356.276900642748,22343.57363748946,22320.7706119151,22400.23160596285,22305.649034024947,22305.344476908387,22449.822991197594,22309.26499573967,22081.60333144904,22429.7685275388,22445.068162810847,22281.059456441446,22296.645809341782,22327.736802918826,22300.624482731553,21962.970365992805,22235.88090129104,22457.99023612489,21567.613912367437,22298.77683398858,22459.9040333309,22387.14161312455,21432.980686691953,22522.04721577624,22397.221853694806,22527.242612850532,22335.632666045403,22391.380024173148,22009.052399572785,22235.343871630248,22386.363078442053,22099.88481854688,22295.233003289617,22274.40835366753,22455.023055498634,22306.007254008688,22118.643585010916,22280.64255231874,22341.167785368736,22480.649041906636,22552.517242218506,22292.797412526044,22063.348511866985,22317.16485381896,22338.393280991455,22309.024929484414,22354.310742700334,22046.475521581713,22230.615887285276,22388.205155493994,22213.49754768028,22368.936910259938,22139.49913218686,22306.577370811814,22204.57507322831,22450.529071413825,22116.226759860743,21950.364426636424,22258.86448157127,22518.16843089152,22431.36602220176,22393.294528697013,22279.42379332765,22205.011460096695,22226.280130308405,22085.456685081816,22368.279225218885,22425.118602001214,22418.64190495763,22095.880918267394,22443.908904582393,22402.2263000651,22324.142365983203,22215.129691646853,22158.638713167973,22342.98524633461,22041.307169624415,22180.955068683266,22521.982071908875,22256.359014646696,22294.693722343738,22180.547872522246,22413.276885517746,22359.686788353134,22386.850637355303,22458.476090993387,22375.8396450763,22437.368028471614,22415.160372786642,22366.48453915108,22361.140015284414,22415.738358860177,22351.92246001207,22453.126503883985,22205.27743116247,22237.054119369008,22121.419846384502,8
22489.71527468121,22321.172455179818,22285.39883212886,22339.421953456127,22233.9514001651,22385.061263440122,22282.248572149947,22238.276507658386,22418.71973147676,22308.538052025386,22054.845513815282,22364.981377639968,22430.118453353705,22221.280656666444,22262.001967012937,22224.059151918827,22293.227162231553,21945.63250582614,22171.093751392207,22440.652375958223,21566.59757402934,22196.632168257813,22446.0508473309,22304.117090219304,21432.129730691955,22439.022692870996,22393.070169661474,22502.90778685053,22140.857386212447,22372.066458173147,21995.14760142695,22218.00601146358,22374.270978192053,22023.15145921355,22256.279440789618,22191.383830762286,22413.79685278379,22111.23197417573,22114.661980135916,22252.13425006874,22292.128306868733,22455.203893656635,22549.38744193517,22225.729443276043,21963.819830366985,22186.175990820302,22238.864599491455,22144.54965196596,22304.969954200333,22023.075059706713,22199.512627564443,22366.32085978066,22199.592749534448,22342.17909262618,22133.671526186856,22279.819553178055,22177.195284744976,22447.783114566602,22096.19876590241,21942.40208159476,22235.80928657127,22435.143907986276,22236.590742368808,22391.92496207201,22275.44218845265,22199.409090638364,22189.174660641736,21954.46782208316,22364.062436293883,22420.124740688712,22414.490220924297,22068.50112978406,22389.7506204812,22382.8287144151,22274.801577483206,22200.157249146854,22027.649850169317,22323.58766068461,21970.429101110527,22149.0929493916,22438.95754900363,22200.71247317192,21524.95955984374,22097.523349617,22359.118601416558,22352.1258104698,22329.1117362303,22263.700811160434,22351.585860576302,22410.610210837855,22359.513831311862,22353.39613652608,22357.094835034415,22406.99153859351,22328.52199813707,22403.785715383987,22186.529901829137,22154.029596463763,21990.430983385846,9
22470.31768903121,22284.066985513153,22282.82039656219,22281.683052331126,22150.926877259855,22320.27411354129,22213.573931003553,22155.25198475314,22266.933600860095,22291.08069028729,22039.895804358137,22233.99251464131,22418.053445353704,22201.883071016444,22207.843682911745,22131.829099168826,22290.841749231553,21926.23492017614,22071.305824433875,22368.286050070747,21546.035180112674,22177.234582607813,22430.638022580897,22300.135485344304,21372.350930916953,22405.253316495997,22326.002200411473,22499.7779865672,22114.099568578687,22307.279308274316,21986.400781160282,22149.331370317184,22373.544034477767,21994.099577130215,22215.05323807478,22162.331948678955,22249.32157526534,22107.0802901424,22043.783911622028,22244.573272185407,22209.103783963492,22290.307356906636,22528.825048018505,22214.800203859377,21769.04455053403,22159.418173186543,22220.11707015812,22133.97552496596,22303.953615862236,22021.43562320671,22158.2864248496,22346.15272028066,22196.693161534447,22147.40381279322,22106.913708553097,22248.716293457222,22165.103184494976,22415.920995274937,21901.423486069456,21937.408220282257,22094.46115641889,22293.795777833893,22165.71267385492,22257.81778966487,22273.80275195265,22145.250806537173,22180.162498747293,21605.35275520816,22359.360684502215,22407.544782688714,22343.612152410406,22064.346742284062,22387.019035481204,22299.804191509855,22254.77358352487,22058.80911899447,22018.63768827487,22316.190340184614,21966.212312185526,22033.295826437054,22437.941210665533,22199.454028671917,21462.350668427072,22069.015047367,22341.78074124989,22269.101287564554,22318.5376092303,21914.585744285432,22347.604255701302,22369.384008123012,22349.96830543091,22348.40227521358,22291.197685256637,22364.513189297082,22197.533135138412,22398.791854071485,22159.772084195378,22137.799520463763,21925.643833487014,10
