Sim1,Sim2,Sim3,Sim4,Sim5,Sim6,Sim7,Sim8,Sim9,Sim10,Sim11,Sim12,Sim13,Sim14,Sim15,Sim16,Sim17,Sim18,Sim19,Sim20,Sim21,Sim22,Sim23,Sim24,Sim25,Sim26,Sim27,Sim28,Sim29,Sim30,Sim31,Sim32,Sim33,Sim34,Sim35,Sim36,Sim37,Sim38,Sim39,Sim40,Sim41,Sim42,Sim43,Sim44,Sim45,Sim46,Sim47,Sim48,Sim49,Sim50,Sim51,Sim52,Sim53,Sim54,Sim55,Sim56,Sim57,Sim58,Sim59,Sim60,Sim61,Sim62,Sim63,Sim64,Sim65,Sim66,Sim67,Sim68,Sim69,Sim70,Sim71,Sim72,Sim73,Sim74,Sim75,Sim76,Sim77,Sim78,Sim79,Sim80,Sim81,Sim82,Sim83,Sim84,Sim85,Sim86,Sim87,Sim88,Sim89,Sim90,Sim91,Sim92,Sim93,Sim94,Sim95,Sim96,Sim97,Sim98,Sim99,step
31564.551103297497,31554.991627396874,31554.991627396874,31554.991627396874,31554.991627396874,31554.991627396874,31554.991627396874,31554.991627396874,31564.551103297497,31554.991627396874,31554.991627396874,31554.991627396874,31554.991627396874,31554.991627396874,31554.991627396874,31554.991627396874,31554.991627396874,31554.991627396874,31554.991627396874,31554.991627396874,31554.991627396874,31554.991627396874,31554.991627396874,31554.991627396874,31554.991627396874,31554.991627396874,31554.991627396874,31554.991627396874,31554.991627396874,31554.991627396874,31554.991627396874,31564.551103297497,31564.551103297497,31554.991627396874,31554.991627396874,31554.991627396874,31554.991627396874,31554.991627396874,31554.991627396874,31554.991627396874,31564.551103297497,31554.991627396874,31554.991627396874,31554.991627396874,31554.991627396874,31554.991627396874,31554.991627396874,31564.551103297497,31554.991627396874,31554.991627396874,31554.991627396874,31564.551103297497,31554.991627396874,31554.991627396874,31564.551103297497,31554.991627396874,31554.991627396874,31554.991627396874,31554.991627396874,31554.991627396874,31554.991627396874,31554.991627396874,31554.991627396874,31554.991627396874,31554.991627396874,31564.551103297497,31554.991627396874,31554.991627396874,31564.551103297497,31554.991627396874,31554.991627396874,31554.991627396874,31554.991627396874,31554.991627396874,31554.991627396874,31554.991627396874,31554.991627396874,31554.991627396874,31554.991627396874,31564.551103297497,31564.551103297497,31554.991627396874,31564.551103297497,31554.991627396874,31554.991627396874,31554.991627396874,31564.551103297497,31554.991627396874,31554.991627396874,31554.991627396874,31554.991627396874,31564.551103297497,31554.991627396874,31554.991627396874,31554.991627396874,31554.991627396874,31554.991627396874,31554.991627396874,31554.991627396874,1
31436.98873653872,31436.98873653872,31426.227380943586,31524.819636300184,31496.255723562375,31426.227380943586,31436.98873653872,31426.227380943586,31436.98873653872,31436.98873653872,31436.98873653872,31436.98873653872,31436.98873653872,31436.98873653872,31436.98873653872,31426.227380943586,31524.819636300184,31426.227380943586,31341.528969459374,31426.227380943586,31426.227380943586,31457.491631170342,31436.98873653872,31436.98873653872,31436.98873653872,31436.98873653872,31436.98873653872,31436.98873653872,31549.67005256354,31436.98873653872,31436.98873653872,31436.98873653872,31436.98873653872,31452.946254495862,31426.227380943586,31436.98873653872,31524.819636300184,31426.227380943586,31426.227380943586,31508.169885867337,31436.98873653872,31426.227380943586,31436.98873653872,31436.98873653872,31436.98873653872,31511.970039673288,31436.98873653872,31436.98873653872,31436.98873653872,31436.98873653872,31436.98873653872,31436.98873653872,31329.132293872794,31436.98873653872,31436.98873653872,31436.98873653872,31436.98873653872,31436.98873653872,31457.491631170342,31436.98873653872,31436.98873653872,31457.491631170342,31436.98873653872,31436.98873653872,31436.98873653872,31436.98873653872,31511.970039673288,31426.227380943586,31436.98873653872,31436.98873653872,31436.98873653872,31436.98873653872,31436.98873653872,31426.227380943586,31436.98873653872,31436.98873653872,31511.970039673288,31426.227380943586,31457.491631170342,31436.98873653872,31436.98873653872,31426.227380943586,31436.98873653872,31436.98873653872,31436.98873653872,31315.027419723243,31436.98873653872,31436.98873653872,31436.98873653872,31426.227380943586,31436.98873653872,31435.786856844214,31324.925235567705,31436.98873653872,31436.98873653872,31436.98873653872,31436.98873653872,31426.227380943586,31426.227380943586,2
31308.224490085435,31308.224490085435,31308.224490085435,31406.816745442033,31378.25283270422,31367.491477109088,31206.922344709554,31396.0553898469,31308.224490085435,31308.224490085435,31390.166995009182,31308.224490085435,31308.224490085435,31308.224490085435,31308.224490085435,31308.224490085435,31396.0553898469,31331.592992585905,31223.52607860122,31308.224490085435,31308.224490085435,31414.470043446756,31308.224490085435,31393.967148815136,31345.679104053575,31390.166995009182,31227.553376327607,31378.25283270422,31420.905806110255,31308.224490085435,31211.12940301464,31308.224490085435,31308.224490085435,31334.94336363771,31308.224490085435,31308.224490085435,31406.816745442033,31308.224490085435,31404.68376730192,31477.997894770648,31308.224490085435,31308.224490085435,31428.69984203872,31378.25283270422,31269.677164555385,31383.205793220004,31308.224490085435,31308.224490085435,31308.224490085435,31206.922344709554,31287.96206961537,31390.166995009182,31200.36804741951,31428.930423205387,31378.25283270422,31308.224490085435,31308.224490085435,31393.967148815136,31339.488740312187,31308.224490085435,31308.224490085435,31328.727384717055,31308.224490085435,31393.967148815136,31308.224490085435,31308.224490085435,31383.205793220004,31308.224490085435,31308.224490085435,31211.12940301464,31308.224490085435,31393.967148815136,31308.224490085435,31308.224490085435,31308.224490085435,31269.677164555385,31281.903647844123,31308.224490085435,31328.727384717055,31308.224490085435,31308.224490085435,31405.299721776923,31392.525388672053,31308.224490085435,31308.224490085435,31284.855428626557,31406.816745442033,31393.967148815136,31422.89531393872,31308.224490085435,31339.488740312187,31308.224490085435,31281.903647844123,31428.930423205387,31308.224490085435,31308.224490085435,31308.224490085435,31308.224490085435,31354.750611860254,3
31289.91209105865,31296.794825348312,31210.724493858903,31395.38708070491,31249.488586250936,31317.558520101695,30991.169689471684,31278.052498988745,31265.74614080984,31300.1661767521,31180.73163479807,31068.260282411804,31082.365156561355,31261.402748555898,31263.761142218766,31082.365156561355,31165.988998017732,31213.59010172775,31126.026082374687,31263.44316526817,31140.9129181021,31249.994765928303,31265.20290236185,31370.23411965442,31216.914857600288,31261.402748555898,31098.789129874323,31348.08084160753,31302.9029152521,31297.9349310021,30981.063011185473,31078.158098256266,31265.20290236185,31313.399749996042,31078.158098256266,31258.291533078038,31359.995003912496,31278.052498988745,31286.680876443766,31359.995003912496,31265.20290236185,31279.347674205947,31378.766885031324,31148.186440875055,31226.6555768318,31265.20290236185,31140.9129181021,31249.488586250936,31261.402748555898,31078.158098256266,31062.10273609129,31160.100603180017,31082.365156561355,31300.1661767521,31372.403165283984,31296.794825348312,31082.365156561355,31260.097906368705,31295.02539244552,31078.158098256266,31261.402748555898,31210.724493858903,31078.158098256266,31351.007006815133,31283.359073060434,31265.20290236185,31265.20290236185,31210.724493858903,31078.158098256266,31161.196446007245,31287.296830918767,31265.20290236185,31265.20290236185,31284.49146092472,31078.158098256266,31140.9129181021,31163.900756985968,31265.20290236185,31210.724493858903,31287.589075085434,31278.052498988745,31287.296830918767,31349.503800948467,31210.724493858903,31249.488586250936,31166.852537768402,31278.052498988745,31184.531788604025,31213.459953727608,31265.20290236185,31294.707415494926,31092.47183484757,31163.900756985968,31331.43042697885,31098.789129874323,31265.20290236185,31210.724493858903,31210.724493858903,31296.014708025756,4
31231.176187224148,31266.622834251626,31204.7137806089,31336.65117687041,31238.058921513813,31287.386529005005,30862.4054430184,31235.03091126516,31039.88680728576,31288.73651201498,31121.995730963572,31062.410614991568,31078.456997936355,31096.927471037445,31205.025238384267,31039.34356883777,31047.98610715958,31163.657144720353,31098.538009100877,31033.376773439006,31090.979961094705,31131.99187507015,31218.381160832312,31241.469873201135,31215.772339315765,31218.381160832312,31055.767542150737,31219.316595154247,31135.591343268767,31248.001973994706,30975.74143635214,31047.98610715958,31039.34356883777,31184.63550354276,30980.658102029734,31250.002638578037,31316.97341618891,31272.20283156851,31077.245516232655,31231.23075745921,31261.29474373685,31069.912313994835,31335.745297307738,30922.327107350975,31179.833835302266,31259.881327528517,30931.47755789099,31147.443213349925,31031.33635672673,30944.28885580984,31015.280994561752,31148.670938442894,30866.61250132349,31269.99418565541,31243.638918830697,31249.973083818775,31043.34681867802,31229.92591527202,31166.261145992234,31047.98610715958,31231.23075745921,31180.552502762213,31053.292681231265,31222.24276036185,31253.187081963744,31227.27890511185,31097.891330378516,31153.625401817233,31068.30746846361,31139.955763040576,31242.074122668768,31244.27524319518,31218.381160832312,31234.558503917324,31035.136510532684,31131.06228830944,31035.136510532684,31235.03091126516,31202.666180525568,31078.153714874323,31062.29984375088,31244.27524319518,31252.003804721935,31167.702906135317,31232.3065746676,31069.35254154187,31263.102789610966,31055.767542150737,31163.52699672021,31257.144589028514,31234.739667929658,30994.971838621033,31133.72876588928,31284.608685449315,31051.967388344787,31206.46699852735,31204.874826438663,31183.23642058509,31178.0118171676,5
30991.21197955052,31222.159486384957,31102.66840770789,31207.886930417124,31007.99252968465,31077.951168793894,30764.90544679187,31140.39652290748,31009.71481618907,31075.27385407748,30993.23148451029,31003.67471115707,31035.43541021277,31088.86915770411,31037.713666400934,30923.19005889491,31033.0363977818,31155.598831387022,30996.492636199866,30935.876777212474,30993.479964868173,30892.02766739652,31008.9458006212,31095.6720475178,31211.864180690765,31188.209169735626,31008.9458006212,31176.29500743066,31088.76960173923,31227.074314828038,30846.977189898855,31042.664532326246,30995.354495337768,30958.77617001868,30920.690354464467,31152.502642351505,31279.04941893891,31271.060313283982,31067.394886439997,31202.35394157972,31051.859383525738,30966.802109094835,31206.981050854454,30872.394150343578,31137.659935165902,31251.823014195183,30909.933944249322,31146.3006950654,31001.164365630044,30846.788859583306,30987.792921287943,30939.235578231783,30836.4405102268,31249.066526488747,31003.67471115707,31206.951496095193,30984.61091484352,31183.104173742482,31116.32818898484,31005.02596515958,31221.38012766655,30971.117142551102,30955.792685004733,31197.30814472941,31206.365340434208,31176.963735578516,30872.031996854435,30986.3138298339,31065.737604046943,31096.934175316994,31077.598845150314,31197.453501665645,31120.88116460578,31175.822600082825,31032.95231823268,30905.20295478536,31027.07819719935,31137.530915038627,31092.247312508902,31070.095401540988,30979.1883007856,31110.406000748753,31221.831813625246,31159.644592801982,31189.284986944018,31059.096983122,31098.627512092517,31025.59555105405,30933.460604891046,31047.709228817406,31008.880334405578,30994.244895337702,31004.964519435995,31155.84443899603,30993.23148451029,31107.73515857005,31132.10241356366,31180.008644118425,31172.162149747364,6
30761.145587721352,31216.837911551625,31055.846666178353,31164.86534269354,31002.670954851314,30959.94827793574,30739.970831159426,31128.966858170355,30926.680659170022,31046.397038197993,30963.0594934136,30836.363139173733,31031.45380533777,30943.07133202078,31016.17005275927,30755.878486911577,30868.561120263348,30929.73949786294,30966.32064510318,30893.70287707611,30951.30606473181,30879.092978836998,31000.88748728787,31065.500056421115,31168.84259296718,31105.097626770348,31003.62422578787,30936.330799757034,31058.597610642544,31184.595965552442,30826.049530732187,30929.423905821484,30983.92483060065,30864.141781660994,30826.055966106782,31092.534894786237,31150.285172485626,31228.0387255604,31020.57314491046,31190.9242768426,31046.537808692403,30832.932866648407,31112.34666249677,30825.57240881404,30897.69572749227,31157.188625837498,30905.952339374322,31047.5688551081,30958.142777906458,30803.76727185972,30982.47134645461,30810.4713317785,30738.940514000267,31206.04493876516,30959.2113632904,30966.987288421562,30885.87907488622,31124.368269907984,30906.89282877373,30779.1666316355,31087.510885220123,30952.689991667172,30945.942055212076,30987.8727845183,31198.307027100876,31130.14199404898,30870.889478569912,30746.349622160273,31035.565612950253,31032.060319816992,31030.777103620778,31189.395188332313,31115.03149718554,31118.72350804116,31022.189172587226,30807.702958558828,30984.599847923753,30911.671581514547,30866.38797898482,30986.370329277353,30945.35409892846,30900.970640537642,31093.067567171962,31112.822851272445,31024.809709425565,31016.075395398413,31001.127515865985,30978.773809524515,30804.69635843776,30950.20923259087,30962.05859287604,30972.701281696034,30907.464523209463,30946.40907878492,30978.603273610286,30898.299798358938,31018.8617870589,31136.98705639484,31126.939441497365,7
30740.217928554688,31187.961095672137,30825.78027434919,31153.39414769354,30977.736339218874,30865.313889578058,30728.541166422307,31123.795012445356,30879.858917640486,31032.303615597993,30795.747921430266,30806.191148077047,30801.3874135086,30727.31867678291,31004.740388022146,30705.945529904184,30825.539532539766,30882.917756333405,30736.25425327401,30863.53088597942,30939.876399994686,30784.458590479313,30950.954530280473,31015.567099413718,31143.977175942182,30895.662266559237,30944.88832195337,30928.2724864237,30842.844955404675,31137.774224022905,30783.0279430086,30719.988545610373,30976.372807642314,30833.969790564304,30781.27464128952,31065.209769677906,31052.78517625909,30997.97233373123,30794.71381138638,31132.188373008103,30806.573601018776,30789.91127892482,30966.548836813436,30696.808162360758,30751.897901808938,31073.463553573863,30856.01938236693,31000.747113578564,30913.679430039792,30792.3376071226,30966.988596160165,30751.735427944,30498.976306326636,31038.733366781827,30825.342120843972,30961.66571358823,30842.857487162633,30978.57044422465,30757.86616185038,30778.024113350973,31072.67992409155,30785.37841968384,30940.092387791836,30890.372788291766,31052.509201417542,31088.891162263266,30812.153574735414,30725.421962993605,30976.829709115755,30903.29607336371,31025.455528787446,30959.328796503145,31055.063749620273,30888.65711621199,30992.01718149054,30724.59141559355,30775.164487712642,30812.142899931216,30819.566237455285,30976.96874452811,30799.556273245125,30670.904248708477,31072.139908005294,31091.89519210578,30948.533014425564,30905.656527381747,30993.06920253265,30953.908392499514,30658.89853275443,30905.745884724205,30833.294346422754,30951.773622529367,30886.536864042795,30934.9794140478,30895.491730645008,30854.310724858937,30935.750244093622,31106.815065298153,30917.504081286253,8
30718.67431491302,31178.559510922896,30616.344914138077,30927.53481416946,30934.71475149529,30814.99872004472,30515.078508484807,31040.68346948008,30639.89470996686,30989.825266322398,30697.016081472964,30759.36940654751,30782.960262624674,30697.146685686224,30921.7062310031,30700.095862483944,30730.90514418208,30839.89616860982,30724.824588536892,30647.778230741555,30936.64862352802,30763.530931312645,30930.026871113805,30995.398959913717,31143.053953650513,30655.698058885606,30824.495576120036,30894.438284566557,30616.985621880594,30924.311566085406,30776.5909810086,30662.889453568707,30881.73841928463,30800.135588707162,30555.41530776544,31064.039082677904,31051.253667743942,30989.9140203979,30764.541820289694,31089.166785284517,30756.64064401138,30692.41128269829,30945.621177646768,30551.010336677424,30743.839588475606,31058.63259244529,30846.168752574267,30833.43554159523,30854.943526205294,30771.409947955934,30838.22434970688,30745.88576052376,30449.043349319243,30991.91162525229,30813.912456106853,30848.425087083466,30834.799173829302,30769.13508401354,30747.61060343051,30754.968918350976,30842.613532262385,30735.445462676445,30714.23305426776,30851.35445040843,30836.756546179677,31044.427814396597,30762.220617728017,30724.279444709082,30750.970375591674,30846.19698132204,30996.578712907958,30947.899131766026,31049.74217478694,30789.92527625469,30963.140365611052,30494.525023764385,30677.66449148611,30769.96899979485,30611.48003416229,30831.17091884478,30798.82932996179,30643.416175434668,31025.318166475758,30851.93098443215,30918.36102332888,30776.89228092846,30767.20986900857,30837.754882556656,30546.510213754427,30904.603366439682,30811.75073278109,30904.95188099983,30869.76922995946,30863.502644964465,30852.470142921426,30807.4889833294,30848.699099242185,30897.37970508704,30750.19250930292,9
30671.852573383483,31119.823607088398,30544.868145054745,30778.508147246113,30868.517764428623,30809.826874319722,30305.643148273695,30981.94756564558,30628.465045229736,30964.959849297396,30471.156747948884,30751.311093214175,30618.48498510622,30647.213728678827,30681.74202332947,30490.660502272833,30672.169240347583,30839.16922532649,30703.896929370225,30587.810483176287,30823.40799702326,30634.76668485936,30920.176241321147,30900.764571556036,30997.25612796718,30439.94540364774,30794.323585023347,30795.706444609255,30407.550261669487,30833.001933600262,30729.769239479065,30612.95649656131,30875.888751864393,30735.1099913024,30536.98815688151,30927.695090633857,31026.38825071894,30764.05468687382,30720.078472423025,30955.29754283809,30755.498125726856,30392.334988327642,30930.99296674677,30507.988748953838,30615.07534202232,30999.896688610792,30845.026234289744,30783.502584587834,30836.631127178505,30658.169321451172,30628.78898949577,30654.576128038618,30440.98503598591,30970.368011610626,30710.802251206853,30824.69205792275,30626.712970536308,30640.37083756025,30720.1225301567,30740.875495750974,30747.9791439047,30519.69280743858,30713.090535983232,30843.351572408432,30830.906878759437,30942.38244149559,30663.488777770715,30641.245287690035,30537.507717654174,30841.594376280373,30962.744511050816,30707.934924092395,31028.198561145273,30765.05985922969,30938.27494858605,30464.353032667696,30451.80515796203,30560.53363958374,30581.3080430656,30748.0593758795,30699.30064837846,30613.24418433798,31003.774552834093,30821.75899333546,30890.872950055065,30716.92453336319,30672.575480650885,30832.433307723324,30541.188638921092,30813.293733954535,30741.623086656087,30899.78003527483,30854.286479665017,30848.671683835895,29780.24390651583,30797.638353536742,30639.263739031077,30892.058130253707,30658.882876817774,10
