step,PD
1,20644.49051201
2,20621.024925550002
3,20600.98240578
4,20576.81714755
5,20552.93788651
6,20528.80654138
7,20502.88562326
8,20480.19465107
9,20456.83904308
10,20429.63478375
11,20406.26258553
12,20389.28287774
13,20372.08855986
14,20344.58079168
15,20330.26916172
16,20303.043806050002
17,20275.67068936
18,20249.17238787
19,20223.54664724
20,20204.23448741
21,20183.4800589
22,20155.27981683
23,20120.25295354
24,20100.57691864
25,20074.10923423
26,20050.015588449998
27,20025.17214983
28,20009.475151630002
29,19984.46935865
30,19963.50918443
31,19936.09044135
32,19907.47781446
33,19881.17114771
34,19852.75220036
35,19826.97664845
36,19804.60490524
37,19779.02945251
38,19752.35954112
39,19723.07084109
40,19699.37088773
41,19676.29514411
42,19653.69561984
43,19622.9219117
44,19597.9408765
45,19563.41176606
46,19538.36791362
47,19513.91883598
48,19493.43103865
49,19465.84686602
50,19439.66448161
51,19420.48671303
52,19395.76182535
53,19371.55960729
54,19349.05170228
55,19323.90783179
56,19297.29319308
57,19278.06539502
58,19253.43295775
59,19233.64573397
60,19208.08092204
61,19180.92043904
62,19157.37347635
63,19131.76289387
64,19105.03875959
65,19079.19874952
66,19056.37703103
67,19031.0655926
68,19006.42279138
69,18984.36951468
70,18962.65591515
71,18937.23039002
72,18912.72491594
73,18890.15545989
74,18865.09266057
75,18837.78111368
76,18809.03143376
77,18788.8009842
78,18759.255356140002
79,18735.97105107
80,18715.11914905
81,18692.48823814
82,18665.01433552
83,18635.69562503
84,18611.48834909
85,18584.6082184
86,18564.65609735
87,18540.20836061
88,18508.05582079
89,18482.91875481
90,18457.72191227
91,18427.07103676
92,18405.43625051
93,18370.22346649
94,18342.84645238
95,18316.54178979
96,18291.01610628
97,18270.44558107
98,18242.74036414
99,18222.55722185
100,18196.35497881
101,18174.62008036
102,18154.56903463
103,18128.41444725
104,18106.39690231
105,18083.75786909
106,18054.20842636
107,18030.44455799
108,18011.03613628
109,17980.01206962
110,17956.36502705
111,17931.99832928
112,17907.86885199
113,17883.14757425
114,17852.89980759
115,17824.46407447
116,17799.59172854
117,17772.13278884
118,17741.78320128
119,17711.94297371
120,17683.932500760002
121,17658.74064923
122,17632.2067649
123,17600.08492597
124,17568.38534569
125,17547.52440291
126,17523.0610678
127,17493.32752182
128,17464.72483742
129,17441.40838847
130,17418.27078648
131,17392.82689883
132,17368.92948915
133,17346.15478332
134,17323.3646231
135,17301.57379946
136,17279.03094621
137,17251.11368796
138,17218.1536537
139,17196.58431849
140,17176.756172549998
141,17150.02226018
142,17122.25338477
143,17103.82379069
144,17080.74360431
145,17054.85060287
146,17030.22685095
147,17004.21439406
148,16983.15319346
149,16961.33047389
150,16943.93397254
151,16917.69072744
152,16895.28256982
153,16868.69161724
154,16840.32903054
155,16804.8954053
156,16783.53463918
157,16755.20052211
158,16728.1737905
159,16699.04549835
160,16674.09153519
161,16645.39800425
162,16618.77570018
163,16588.72583505
164,16558.89765156
165,16535.47582853
166,16510.89359159
167,16484.5265897
168,16446.40650996
169,16417.63625161
170,16390.26971192
171,16364.81005009
172,16337.24969256
173,16306.73314258
174,16282.55834046
175,16253.35713583
176,16228.69751028
177,16199.50246162
178,16174.52875964
179,16147.0341374
180,16112.41055108
181,16087.29822759
182,16058.46578977
183,16035.15417002
184,16008.71111017
185,15983.20874701
186,15952.99357418
187,15920.13732939
188,15894.56252027
189,15867.59517306
190,15830.81270247
191,15801.54105836
192,15773.38857458
193,15752.06610714
194,15724.14471073
195,15695.9304633
196,15667.19209858
197,15645.368006140001
198,15624.16856496
199,15601.23659032
200,15577.39593174
201,15551.95498512
202,15518.95032282
203,15491.715412130001
204,15461.85888742
205,15434.89010733
206,15407.72802199
207,15381.67741919
208,15358.27427336
209,15331.54405574
210,15297.63042628
211,15266.40482903
212,15244.31368011
213,15216.20824306
214,15193.699301730001
215,15159.186503160001
216,15136.7142008
217,15111.20961404
218,15083.65599472
219,15049.56606893
220,15022.2573524
221,14993.72537125
222,14970.58679851
223,14936.81510573
224,14907.28384607
225,14875.35751882
226,14845.11948981
227,14813.87920752
228,14789.44536096
229,14768.00423023
230,14742.80664271
231,14710.30093498
232,14676.98869308
233,14651.34943248
234,14625.33308107
235,14589.84762735
236,14557.28814539
237,14525.1583505
238,14497.92080972
239,14466.88939497
240,14442.00859209
241,14416.21161196
242,14391.450023
243,14363.6507671
244,14334.23765131
245,14308.50543586
246,14283.21468255
247,14256.9648456
248,14218.57120457
249,14190.69989456
250,14165.301938300001
251,14135.3604865
252,14112.3578484
253,14085.72584427
254,14056.55837177
255,14031.5488015
256,14003.88523193
257,13980.49639945
258,13949.83703002
259,13926.1698449
260,13901.38067511
261,13868.04488155
262,13831.25616291
263,13805.38854518
264,13779.33872453
265,13745.61903608
266,13720.00490608
267,13692.51316568
268,13665.42088592
269,13635.64019709
270,13608.04039836
271,13580.83117753
272,13551.68830705
273,13529.40820429
274,13496.06786421
275,13466.05313757
276,13440.50851342
277,13411.13837644
278,13393.49214642
279,13356.944633449999
280,13329.57260644
281,13300.49701163
282,13275.0768021
283,13242.59374706
284,13208.89997864
285,13180.22503714
286,13152.62530948
287,13128.49059711
288,13092.60373243
289,13060.93012176
290,13039.19386524
291,13010.82820293
292,12985.406293170001
293,12956.50313711
294,12934.94573613
295,12908.33779379
296,12886.79404855
297,12860.91312628
298,12835.024286490001
299,12811.25477307
300,12780.85545967
301,12752.09160422
302,12722.49229468
303,12694.46791713
304,12673.30396066
305,12643.458248680001
306,12612.9713625
307,12583.73728387
308,12558.30892626
309,12535.57587808
310,12501.31299831
311,12479.31227109
312,12448.91119277
313,12425.23300867
314,12398.79808711
315,12368.72427409
316,12335.13712797
317,12309.40491947
318,12274.26786226
319,12241.203127320001
320,12215.79269605
321,12188.7474181
322,12166.17686492
323,12132.48737275
324,12101.90273794
325,12065.67187719
326,12039.09295921
327,12008.976176780001
328,11966.81487803
329,11940.29787827
330,11912.60054841
331,11876.87441267
332,11842.24478219
333,11816.35199786
334,11791.42448203
335,11766.33224646
336,11739.06343365
337,11711.87211969
338,11690.872023079999
339,11667.51436215
340,11630.82153721
341,11609.26985847
342,11574.64433065
343,11548.24577627
344,11515.79662993
345,11489.44116681
346,11457.69754073
347,11430.82034518
348,11397.05799818
349,11370.80777825
350,11348.90100551
351,11328.5860795
352,11308.86699239
353,11277.42794927
354,11243.62352273
355,11206.31364107
356,11171.15562504
357,11135.74997406
358,11105.77939377
359,11070.5769687
360,11042.07305716
361,11014.6103295
362,10981.755136060001
363,10959.77859111
364,10933.43861045
365,10900.517272
366,10875.32607131
367,10847.19400738
368,10809.49510932
369,10774.697535880001
370,10744.441566380001
371,10719.27358395
372,10689.73466681
373,10655.81563776
374,10631.9726897
375,10601.61775684
376,10572.6327141
377,10542.00114084
378,10512.11349665
379,10482.42143703
380,10452.06025545
381,10423.36886218
382,10396.1608558
383,10360.63846858
384,10325.63626903
385,10295.17025424
386,10266.15801243
387,10223.36930308
388,10191.61539712
389,10153.92406129
390,10123.02752471
391,10090.4328217
392,10056.01785505
393,10015.59681849
394,9987.78110241
395,9952.90496366
396,9925.06592132
397,9906.12687208
398,9870.22280319
399,9843.12716945
400,9803.6194913
401,9766.77471893
402,9731.7251272
403,9699.554009380001
404,9668.87664916
405,9636.70272568
406,9608.14000678
407,9582.71632355
408,9555.25200986
409,9522.64329095
410,9487.23155512
411,9459.5591959
412,9429.3958683
413,9397.9152862
414,9366.42026667
415,9336.37737248
416,9300.05779665
417,9275.58849663
418,9246.11135666
419,9206.3176786
420,9175.77759742
421,9146.15387014
422,9115.95459993
423,9084.82708325
424,9057.49293507
425,9025.9300265
426,8995.98960155
427,8961.2611263
428,8930.01212087
429,8896.03663979
430,8859.99307038
431,8821.66966115
432,8789.77735834
433,8749.09289308
434,8720.16246218
435,8690.14799309
436,8660.49279514
437,8633.11138919
438,8603.86680293
439,8564.95821227
440,8530.198789690001
441,8495.1250414
442,8469.23326818
443,8434.46880528
444,8399.63820307
445,8364.12894144
446,8329.567391210001
447,8291.60480725
448,8256.37794885
449,8218.19532301
450,8194.65311608
451,8165.49909281
452,8128.73373598
453,8097.2206724200005
454,8062.36053668
455,8026.82868312
456,7989.76558126
457,7955.782555700001
458,7917.57892299
459,7878.674096
460,7865.864105
461,7786.115401
462,7762.320218
463,7726.788528
464,7718.3916930000005
465,7685.76985357
466,7652.4634080000005
467,7648.871974
468,7635.92649
469,7600.60641
470,7586.831887
471,7579.6791389
472,7571.830111
473,7544.90326865
474,7520.666792
475,7303.76137306
476,7136.504304
477,7096.62035409
478,7057.95038982
479,7019.1092770000005
480,7004.955478
481,6989.81833231
482,6977.91424674
483,6959.3055230499995
484,6939.560926
485,6933.839769
486,6874.16902096
487,6809.42635083
488,6753.51475765
489,6695.877502
490,6674.0738215
491,6645.17065816
492,6620.7641406
493,6590.59008
494,6502.80129308
495,6412.157092
496,6384.30774319
497,6354.44863499
498,6328.95648052
499,6303.53102745
500,6271.613959
501,6203.77676525
502,6125.332818
503,6121.925888
504,6098.9778418000005
505,6068.081436
506,6045.49886912
507,6019.943806
508,6017.812439
509,6007.975651
510,5996.66262612
511,5981.84291173
512,5969.074991
513,5961.952356
514,5927.25488125
515,5893.18442312
516,5855.66625656
517,5825.10485326
518,5792.316399
519,5691.802775
520,5590.602304
521,5538.88261322
522,5491.1903118
523,5449.34991636
524,5403.63110906
525,5359.24753258
526,5318.20618339
527,5278.12256521
528,5241.573037
529,5229.111219
530,5195.471035
531,5088.475641
532,5047.081057
533,4962.860542
534,4910.584052
535,4880.42254061
536,4846.67013722
537,4791.46640974
538,4745.31473191
539,4686.67145206
540,4622.26955547
541,4568.68633275
542,4509.49274343
543,4452.65538638
544,4386.951885
545,4386.400186
546,4385.431828
547,4347.035968
548,4316.918045
549,4263.9271041
550,4205.30813254
551,4146.00505511
552,4089.10800093
553,4020.81318887
554,3958.68980585
555,3892.92114948
556,3832.19801874
557,3763.87934645
558,3691.76523567
559,3629.1704597
560,3563.473334
561,3477.795815
562,3395.23457868
563,3318.01407179
564,3235.83306423
565,3151.36251966
566,3074.97126683
567,2991.66121
568,2970.321691
569,2927.560736
570,2857.31219346
571,2769.45023518
572,2682.76005626
573,2594.26255834
574,2511.13935859
575,2426.79641301
576,2319.5131382600002
577,2242.30148539
578,2123.95328724
579,2039.59230409
580,1950.52082061
581,1844.87867124
582,1732.12110598
583,1630.2859291
584,1516.72925353
585,1411.71254331
586,1313.34217455
587,1199.27823681
588,1084.1473284
589,971.60974005
590,862.22817915
591,719.38032263
592,591.62466453
593,456.95405166
594,318.67145337
595,159.33572674
596,0
