step,PD
1,22770.13189779
2,22716.14101188
3,22661.24254598
4,22614.42198803
5,22570.706925
6,22520.60408
7,22467.55462711
8,22424.73607428
9,22376.12573859
10,22324.84085826
11,22274.21656219
12,22231.85350965
13,22179.942876
14,22123.1177886
15,22076.64807187
16,22019.236013499998
17,21967.51912897
18,21909.10965979
19,21863.98280447
20,21812.37224809
21,21766.8245587
22,21720.82051343
23,21668.88087008
24,21621.60994192
25,21574.17308182
26,21523.34813598
27,21476.97900809
28,21431.52321918
29,21382.99190409
30,21332.94631694
31,21277.05181575
32,21232.847132
33,21211.31161708
34,21186.44696689
35,21163.07899099
36,21139.93859847
37,21116.61915166
38,21094.679362
39,21041.54756
40,21003.50194171
41,20962.83002528
42,20922.90038774
43,20880.20504416
44,20849.99941449
45,20818.36002956
46,20786.67592414
47,20749.76756237
48,20716.9118
49,20715.895462
50,20711.258994
51,20674.468725
52,20653.59837836
53,20633.48371842
54,20614.57458899
55,20593.393325
56,20579.618803
57,20526.15471567
58,20474.052062
59,20468.833712
60,20441.453924
61,20391.20037979
62,20310.24646143
63,20248.18685731
64,20200.55718495
65,20128.05231598
66,20041.27659932
67,19984.04311359
68,19896.93271406
69,19818.51929594
70,19742.96132867
71,19646.228252
72,19533.717135
73,19513.521335
74,19450.561281
75,19342.73902088
76,19170.76423928
77,19116.63386891
78,18996.5819041
79,18869.50419823
80,18747.47034724
81,18636.60757013
82,18557.12052155
83,18438.67915295
84,18319.151133
85,18196.6798265
86,18093.53524551
87,18007.334722
88,17979.02219267
89,17957.34046248
90,17928.46375364
91,17903.92522492
92,17875.81933671
93,17845.94554432
94,17821.16409346
95,17794.24233614
96,17769.01716989
97,17743.37645606
98,17716.502361
99,17690.729528
100,17645.3862757
101,17602.23816848
102,17550.874291
103,17498.429103
104,17467.25798589
105,17436.480793
106,17406.580288
107,17334.45377166
108,17265.825404
109,17136.62643564
110,17030.098576
111,17024.496207
112,16997.26478835
113,16967.63914559
114,16943.55145268
115,16916.22076036
116,16888.14976883
117,16864.217798
118,16737.626382
119,16666.748314
120,16616.342142139998
121,16581.1349518
122,16529.566212
123,16498.462951
124,16475.407756
125,16439.96556082
126,16407.75427722
127,16363.42788805
128,16331.502465
129,16327.33287964
130,16323.51240562
131,16319.273825
132,16315.876094
133,16252.85532595
134,16194.03409404
135,16142.341951
136,16107.69811
137,16006.467893
138,15841.992616
139,15792.811427999999
140,15666.99715006
141,15534.999797
142,15451.975275
143,15432.577689
144,15291.229557999999
145,15291.119322
146,15157.01215
147,15092.225
148,15069.06794354
149,15044.80001097
150,15016.18596355
151,14990.13036465
152,14970.16485462
153,14937.47518903
154,14907.13845746
155,14880.29169816
156,14856.48737156
157,14829.55674924
158,14797.81738186
159,14765.60831817
160,14744.2145755
161,14712.37035801
162,14688.077862959999
163,14655.06843116
164,14623.534785939999
165,14599.78044795
166,14570.68668401
167,14536.40510573
168,14502.761712129999
169,14474.828011309999
170,14447.90101201
171,14415.38245585
172,14383.65307692
173,14353.63290681
174,14327.24232077
175,14296.36458397
176,14266.40612451
177,14244.69795545
178,14214.27333039
179,14184.41347095
180,14148.50160913
181,14118.82873294
182,14097.98570109
183,14075.477089779999
184,14047.68723798
185,14014.68977496
186,13982.920580959999
187,13952.37176409
188,13924.73055913
189,13896.47756119
190,13870.604489559999
191,13848.35180567
192,13819.70930446
193,13788.09913998
194,13760.269061519999
195,13736.37734853
196,13708.952186
197,13675.83964852
198,13636.54991801
199,13609.7681158
200,13584.00327227
201,13544.7293022
202,13517.909467989999
203,13488.66721809
204,13455.70342457
205,13428.57447247
206,13402.80196137
207,13379.33738427
208,13348.78847418
209,13324.89746692
210,13299.55790616
211,13272.85718065
212,13246.73714066
213,13211.07078618
214,13185.2836252
215,13153.45041836
216,13123.53463378
217,13100.45615829
218,13074.35065284
219,13048.14019584
220,13013.231291779999
221,12983.84682558
222,12959.49824469
223,12935.43188628
224,12903.02390914
225,12871.91746163
226,12839.27395789
227,12810.87163756
228,12784.78116982
229,12757.34414245
230,12734.25784534
231,12703.83366977
232,12672.25381891
233,12647.09613624
234,12612.06355609
235,12588.9357665
236,12558.98144078
237,12536.08016153
238,12509.71602798
239,12479.339695749999
240,12453.79163713
241,12426.16039557
242,12399.58597893
243,12366.34395157
244,12337.90456618
245,12309.35630747
246,12280.31219968
247,12249.08611623
248,12220.48071095
249,12188.08612108
250,12157.29321609
251,12131.04576999
252,12107.13990067
253,12079.53304797
254,12042.28805091
255,12006.24633184
256,11978.39086725
257,11950.33433116
258,11918.38587154
259,11884.60459682
260,11852.8549317
261,11820.35107984
262,11793.831654739999
263,11770.32444968
264,11737.70027312
265,11705.09163121
266,11674.12306824
267,11645.67641881
268,11610.81938075
269,11585.37870629
270,11555.32917523
271,11527.84090309
272,11484.95640628
273,11454.808520659999
274,11419.23847375
275,11396.18936424
276,11365.20387127
277,11334.79365025
278,11298.36995428
279,11264.16974775
280,11231.93394754
281,11200.75583361
282,11171.26743124
283,11138.15434023
284,11102.25724083
285,11064.24784088
286,11025.42148899
287,10997.61481399
288,10969.13037897
289,10936.6643267
290,10895.47274247
291,10856.15403515
292,10818.74995977
293,10775.96954504
294,10736.21654957
295,10692.16427038
296,10657.37692611
297,10624.5862351
298,10596.89152604
299,10571.23885235
300,10546.69873625
301,10520.52795007
302,10486.94637576
303,10453.15763728
304,10426.98432515
305,10396.649234389999
306,10368.93685461
307,10335.88118239
308,10309.290443849999
309,10279.61916406
310,10243.72416822
311,10201.558906979999
312,10168.84443719
313,10132.95074045
314,10102.94491726
315,10074.64613909
316,10049.03657
317,10016.79074843
318,9989.53410293
319,9960.03755377
320,9921.87513483
321,9887.69429901
322,9857.26942518
323,9833.6789235
324,9800.03945136
325,9764.58090837
326,9732.76108108
327,9704.38024249
328,9668.45076367
329,9631.13931485
330,9598.61106219
331,9573.06247272
332,9542.34835853
333,9510.86219035
334,9476.33505687
335,9440.33085891
336,9398.66417765
337,9361.88315616
338,9335.61400368
339,9303.28591404
340,9274.92266931
341,9233.84847319
342,9201.0632811
343,9165.57507424
344,9134.52982118
345,9102.7066578
346,9071.21164436
347,9031.71491826
348,8987.6822476
349,8957.55637854
350,8923.11394958
351,8892.5179152
