step,PD
1,26935.24640179
2,26915.44654126
3,26892.5368505
4,26868.33633533
5,26848.8789807
6,26821.52857876
7,26802.81619642
8,26781.14291707
9,26756.06353641
10,26735.57669927
11,26709.95676218
12,26687.00350035
13,26670.75736878
14,26654.06142036
15,26630.34758174
16,26601.78383305
17,26573.07496037
18,26548.2887815
19,26522.76870966
20,26495.38370921
21,26467.42698889
22,26439.11241173
23,26416.20705737
24,26393.38210958
25,26373.24295243
26,26353.05619745
27,26333.16991172
28,26305.39448364
29,26280.85603932
30,26259.12954303
31,26233.20607987
32,26213.19913317
33,26188.40185287
34,26164.80305067
35,26134.69890186
36,26114.43780875
37,26090.32338
38,26064.54258312
39,26036.8586103
40,26007.81691553
41,25983.25896688
42,25953.84710624
43,25929.61779675
44,25904.2773359
45,25878.79763431
46,25849.29059979
47,25825.6028053
48,25796.44718021
49,25775.10798544
50,25745.270199900002
51,25720.96871588
52,25696.51043911
53,25672.01284734
54,25654.97065571
55,25631.13775327
56,25606.77202414
57,25581.08882822
58,25546.86397366
59,25520.52823644
60,25500.3814274
61,25470.42414193
62,25446.30021898
63,25420.16327996
64,25389.58846496
65,25362.17849566
66,25336.94828723
67,25311.29380886
68,25285.13377215
69,25260.33226996
70,25235.4360745
71,25202.2606674
72,25169.77782432
73,25149.53133616
74,25128.0876389
75,25110.33575258
76,25088.20631485
77,25067.27726044
78,25039.300987
79,25020.16781679
80,25002.30795703
81,24974.72434189
82,24953.97715158
83,24930.68681098
84,24902.77696177
85,24884.6511751
86,24858.32558273
87,24835.70704147
88,24803.98562837
89,24772.74944639
90,24747.27800121
91,24719.6362422
92,24692.67919992
93,24666.9941787
94,24645.87535705
95,24621.12399956
96,24595.77558693
97,24570.84197585
98,24549.6460155
99,24526.48228049
100,24498.04487746
101,24473.04943975
102,24451.61428434
103,24430.79230985
104,24405.96736545
105,24377.95315939
106,24354.20552132
107,24326.88464551
108,24304.1245186
109,24283.65555962
110,24259.74341828
111,24231.55601617
112,24204.17072667
113,24183.60132926
114,24157.461897189998
115,24133.08150902
116,24103.32214349
117,24082.13453309
118,24054.72393482
119,24035.01288457
120,23998.26563256
121,23971.16784731
122,23947.00572955
123,23916.08241261
124,23887.1630852
125,23861.95691195
126,23840.00661207
127,23820.61660305
128,23793.07023998
129,23764.01576
130,23740.99411024
131,23705.39457296
132,23677.60848321
133,23652.19586552
134,23629.034399879998
135,23609.71397583
136,23590.09756978
137,23567.01563871
138,23542.38772399
139,23518.69782871
140,23483.42739347
141,23453.64565823
142,23432.66372902
143,23415.69654827
144,23385.64962299
145,23360.95565764
146,23338.36787746
147,23315.00148063
148,23292.503531989998
149,23259.57543765
150,23235.59133398
151,23212.76811817
152,23178.27546791
153,23151.36587373
154,23126.94862444
155,23090.93153334
156,23068.33193196
157,23050.74515627
158,23025.19003465
159,23001.007337349998
160,22977.37565554
161,22951.67981641
162,22921.68559773
163,22900.07469665
164,22871.40661978
165,22840.49129802
166,22822.54927522
167,22799.34908425
168,22772.74824448
169,22749.24344521
170,22715.62552587
171,22683.06471674
172,22656.43268943
173,22633.22256374
174,22610.8503631
175,22584.07446105
176,22552.17641463
177,22524.15864452
178,22495.19674155
179,22465.60981192
180,22439.98580279
181,22416.90315655
182,22390.90785836
183,22370.42827855
184,22345.93122188
185,22325.29634115
186,22297.749283780002
187,22274.77189835
188,22249.71061207
189,22224.0339902
190,22200.58459263
191,22177.91571928
192,22155.54666507
193,22127.16536153
194,22093.82540716
195,22065.90846042
196,22036.587446139998
