step,PD
1,31468.03334665565
2,31365.382558155652
3,31283.986492590437
4,31198.98119004877
5,31130.376495548768
6,31070.30931454877
7,31016.878043548768
8,30831.985042570508
9,30790.05151482051
10,29717.82527841491
11,29597.432532581577
12,29505.25932256158
13,29446.207784811577
14,29416.021770311578
15,29374.97202831158
16,29224.693570303247
17,29076.063189053246
18,28968.922341053247
19,28665.82469938658
20,28589.54800438658
21,28556.905892386578
22,28313.636215524326
23,28221.188337881467
24,28201.432707381467
25,28183.392500631468
26,27916.59258638147
27,27749.281014398137
28,27492.305957610635
29,27129.246729998828
30,26899.180338169663
31,26659.216130496032
32,26191.188512017245
33,25965.329178493164
34,25837.766811734386
35,25806.919836734385
36,25669.385859984384
37,25430.10335700522
38,25370.877149630218
39,25323.17347538022
40,25200.001948652607
41,25132.02613215261
42,25078.70310690261
43,25069.42727190261
44,24993.549823152607
45,24793.574458902607
46,24647.776633219273
47,24534.536006714512
48,24431.46121313118
49,24404.62304813118
50,24308.616787131177
51,24300.25119913118
52,24240.985426631178
53,24148.755374056178
54,24121.26730078237
55,23956.37076405221
56,23872.645691788573
57,23663.210331577462
58,23609.384787815558
59,23522.89189819056
60,23375.82668269056
61,23256.79179535306
62,23173.75763833401
63,23145.52623483401
64,23027.110508988924
65,23012.795927572257
66,22884.031681118973
67,22837.209939589437
68,22764.386280839437
69,22606.59183420482
70,22457.56516728147
71,22394.434379281473
72,22259.792704948137
73,22150.52457390006
74,22032.52168304191
75,21953.93119737524
76,21852.94191936707
77,21787.45974561707
78,21723.74223161707
79,21565.125428950403
80,21520.344104133143
81,21355.86882661469
82,21310.483742936118
83,21198.992860078975
84,21156.032718078975
85,21140.525113078977
86,21069.832444721833
87,20854.079789483967
88,20781.57519964378
89,20730.822639560443
90,20696.9884377033
91,20636.24207575752
92,20608.776070393884
93,20538.508011393882
94,20517.00834764388
95,20441.382440522262
96,20343.56679840321
97,20274.779162403214
98,20168.319482153212
99,20070.81948592668
100,20060.406609598554
101,19949.98774158189
102,19876.15368097078
103,19820.644593470777
104,19506.367854070777
105,19463.319970570778
106,19445.192164570777
107,19287.116309520778
108,19178.915403904113
109,19104.843455904112
110,19060.125360904112
111,19019.063119737446
112,18981.139122487446
113,18864.985612544588
114,18817.062436211254
115,18759.480148084087
116,18720.116422263574
117,18675.20920659691
118,18662.423838513572
119,18559.313633613572
120,18504.274649741732
121,18445.678724658395
122,18401.646778095896
123,18357.6577045959
124,18269.457190173674
125,18188.86930290095
126,18147.256183900947
127,18047.727502317615
128,17964.615959352337
129,17891.843546477336
130,17814.553391894002
131,17775.53505401067
132,17709.31505685194
133,17596.646670198093
134,17560.018419698095
135,17519.050864948094
136,17509.180040948093
137,17301.0938376551
138,17224.515039488433
139,17181.4856621551
140,17089.4211565301
141,17056.35143779933
142,17047.95910179933
143,16956.649469314187
144,16935.774682980853
145,16921.12168628085
146,16880.71169294752
147,16773.608168883417
148,16710.999277466748
149,16696.622677320916
150,16636.65492975565
151,16593.08050268422
152,16456.73651064017
153,16380.361297396583
154,16365.53033626801
155,16331.760959768011
156,16201.01329001801
157,16145.049301518011
158,16102.875401381647
159,16050.208459081647
160,16033.440824998313
161,16008.506209365873
162,15954.261614449206
163,15841.661845409622
164,15728.652782160212
165,15695.569738160211
166,15688.494010660212
167,15658.801658178068
168,15596.401876136402
169,15531.528020636402
170,15504.248399136402
171,15471.744938073902
172,15368.682352518346
173,15354.015587768346
174,15328.735396268346
175,15290.447024185014
176,15280.598102985014
177,14910.050242455982
178,14892.034352933759
179,14825.837365867092
180,14748.054691594365
181,14690.955599552699
182,14561.591180469364
183,14465.276858153038
184,14413.634908153039
185,14358.798230653038
186,14324.564134153037
187,14280.100786286372
188,14263.51798042923
189,14234.696348595895
190,14098.138242376199
191,14034.490662032447
192,13831.123148437986
193,13795.923032437984
194,13776.759203271318
195,13686.49760782489
196,13679.03185482489
197,13667.30896782489
198,13645.615582491557
199,13643.731515158222
200,13605.282258758223
201,13527.797668570724
202,13501.632499820724
203,13475.198670499294
204,13458.078805074294
205,13436.464755074294
206,13387.091262407628
207,13371.904483907629
208,13347.405513457628
209,13281.773898707628
210,13150.775617270787
211,13091.579894054119
212,13070.701034597598
213,13001.812147180932
214,12907.378622930932
215,12834.144406685833
216,12746.419936935832
217,12721.899219935833
218,12694.421874935833
219,12665.357583461257
220,12646.707348086256
221,12604.228998810662
222,12461.321482448162
223,12414.11703314816
224,12371.095445424577
225,12332.141882924578
226,12309.312518424576
227,12266.743732924577
228,12237.86691704509
229,12234.50844804509
230,12203.731628196605
231,12176.259440696605
232,12051.455308068138
233,11995.226651068137
234,11898.747964456774
235,11877.507281490107
236,11864.16480032344
237,11801.859407237725
238,11780.732061726856
239,11710.487830836231
240,11683.589103336231
241,11678.18452733623
242,11672.007253836231
243,11621.692084302898
244,11507.54461854248
245,11393.865018972388
246,11379.711219900697
247,11354.926803900697
248,11274.276355200696
249,11238.599553200696
250,11224.777705772125
251,11204.782420843554
252,11131.566376843553
253,11088.44277101022
254,11067.072778782947
255,11017.93339649128
256,11003.96894359128
257,10993.350855924615
258,10924.676214761226
259,10907.948109361227
260,10889.63571033444
261,10873.185461501107
262,10860.864157501108
263,10840.522098306663
264,10801.844112306662
265,10788.63187847333
266,10772.44918147333
267,10698.720088139997
268,10673.723163306662
269,10652.173732577496
270,10635.310535202496
271,10619.437429202497
272,10568.936518924718
273,10538.76452782803
274,10516.093337058799
275,10480.277847147036
276,10463.747741230369
277,10416.382190075823
278,10401.541662575823
279,10388.380183450823
