step,PD
1,31637.534998377294
2,31599.60512704109
3,31558.347490334556
4,31518.38857129671
5,31469.444205495984
6,31426.583385000267
7,31376.758111546675
8,31341.578058164647
9,31290.99794724148
10,31254.638485236253
11,31202.978806969106
12,31155.763302393945
13,31107.375803871862
14,31056.88978389045
15,31018.04359344688
16,30966.011530461423
17,30923.21473442415
18,30880.56834960178
19,30836.543977898837
20,30791.655872985473
21,30749.26000433173
22,30704.2797948764
23,30659.063921712735
24,30606.094423968778
25,30564.88347585385
26,30513.269439355958
27,30470.11939503887
28,30430.85871355503
29,30384.57988309772
30,30348.179009021274
31,30300.63910417857
32,30257.86926764643
33,30212.551896492223
34,30176.0551823723
35,30134.507085244313
36,30083.099745678166
37,30034.35803974625
38,29993.629495627993
39,29958.02715396799
40,29914.121556213602
41,29912.369119763604
42,29901.255847192282
43,29889.718253391988
44,29878.014286425303
45,29866.495892926083
46,29855.5278403755
47,29846.69332662754
48,29796.47547350578
49,29750.44693577516
50,29708.832247449125
51,29667.881266492266
52,29631.584099414922
53,29600.251375401625
54,29557.77916747203
55,29528.49663607922
56,29490.91344509559
57,29455.91120310935
58,29404.99283053079
59,29371.703020601126
60,29338.238264745065
61,29300.953883797436
62,29252.000362353992
63,29213.227316764456
64,29170.9418314141
65,29137.201365224708
66,29101.740096986043
67,29066.303955292566
68,29018.283703022385
69,28978.205406149602
70,28944.892708448373
71,28915.93672199548
72,28865.4585814691
73,28832.240121184685
74,28759.735531344497
75,28741.318858268107
76,28722.90218519172
77,28684.09733758943
78,28647.91972332005
79,28617.634347805677
80,28589.332595566928
81,28559.77803402401
82,28524.63824475422
83,28476.715068420886
84,28433.754926420886
85,28373.765004342695
86,28305.886089016123
87,28295.630530596252
88,28270.76511357125
89,28249.083205611503
90,28226.802285077334
91,28210.078362642667
92,28179.65444768525
93,28152.142205340584
94,28127.86434397792
95,28103.717201366417
96,28079.35771587267
97,28054.789895329086
98,28030.016225828003
99,28015.24803543092
100,27997.449193913668
101,27971.080023024417
102,27937.563308025085
103,27919.504697502503
104,27899.374648099085
105,27878.502573854585
106,27877.36005557006
107,27854.028890178757
108,27812.84889826209
109,27801.44367926209
110,27800.02236776209
111,27705.387979404408
112,27683.474048212738
113,27659.534834596074
114,27636.434148752738
115,27611.587561684824
116,27591.73783445274
117,27568.00156911274
118,27468.472887529406
119,27334.603645082978
120,27312.748529393175
121,27291.244929376608
122,27265.671607115954
123,27242.652714618394
124,27219.41245725774
125,27195.704822465916
126,27188.15279950758
127,27093.719061934913
128,27005.3584772298
129,26859.56065154647
130,26629.494259717303
131,26612.477116543017
132,26593.82985458303
133,26574.454070657666
134,26552.86625137692
135,26534.115754439255
136,26511.479638292523
137,26492.044410356502
138,26468.78737829593
139,26446.501503740124
140,26419.540405335807
141,26396.19354403883
142,26374.961905817498
143,26352.677978257485
144,26332.12323595306
145,26303.156404385758
146,26280.469664113552
147,26233.64792258402
148,26217.117816667353
149,26147.392667923763
150,26140.60640430276
151,26132.71415982376
152,26087.9328350065
153,26077.024461125668
154,26064.525262544834
155,26049.689932224
156,26036.9521132565
157,26018.524962372572
158,25987.87770324757
159,25985.00949512882
160,25982.37238712257
161,25967.66344121348
162,25916.726561539417
163,25870.228806957773
164,25828.22376429709
165,25782.70910220579
166,25729.531191106144
167,25695.58649771823
168,25651.069999264655
169,25608.46869831338
170,25553.89953193778
171,25498.279266870126
172,25457.666406577897
173,25413.36940879409
174,25352.59302187578
175,25320.186327979623
176,25319.611622979624
177,25314.710266979622
178,25137.780280812956
179,25088.21720285498
180,25037.703148464447
181,24997.913020641132
182,24952.26732118613
183,24910.35664567919
184,24861.973244476205
185,24834.648119367874
186,24756.99490438831
187,24681.63521110076
188,24666.58514050469
189,24651.709005907902
190,24394.733949120404
191,24284.206556031168
192,24171.88058773416
193,24059.201575392508
194,24020.261346670915
195,24014.5611413902
196,24009.7227036352
197,23959.318011056625
198,23901.435711927286
199,23833.458404384914
200,23772.364172301543
201,23696.16056913207
202,23616.50796016643
203,23541.48166320393
204,23479.856161342825
205,23424.245420419233
206,23362.595181309385
207,23305.256468491236
208,23262.23488076765
209,23224.290664449614
210,23170.38521382122
211,23091.11002793801
212,23005.912672031638
213,22982.857477031637
214,22860.196051927436
215,22754.273020623146
216,22688.651369233987
217,22593.553944729476
218,22491.063601862184
219,22392.609037718896
220,22249.414143903454
221,22168.107154727822
222,22064.98104504684
223,21987.000527368175
224,21875.22309321085
225,21754.450373094365
226,21593.040708858145
227,21459.819677007494
228,21401.38305904516
229,21285.229549102303
230,21120.754271583854
231,21116.80877758385
232,21105.19285383385
233,21083.303253907878
234,21059.814088152976
235,21035.660039996554
236,21007.824257846467
237,20984.5089882644
238,20954.38995847018
239,20932.827353489407
240,20905.021480309653
241,20876.048018080153
242,20844.50197474393
243,20819.141581391013
244,20682.797589346967
245,20580.752216445955
246,20559.82455727929
247,20558.29304876414
248,20510.872844061956
249,20454.10860199124
250,20388.988127297853
251,20327.596045325034
252,20270.00114405183
253,20204.03272831268
254,20168.355926312677
255,20164.223187142677
256,20159.788480729345
257,20123.75321858907
258,20086.28996345851
259,20048.852713042812
260,20003.593938639686
261,19960.463105845272
262,19925.47034273492
263,19889.948025120004
264,19777.559706120002
265,19732.52651457012
266,19679.645903963286
267,19615.899644224595
268,19594.222639506414
269,19572.545634788232
270,19523.04497356501
271,19467.975308352667
272,19420.251428057967
273,19370.513054730833
274,19316.009685915586
275,19250.693429331957
276,19188.216605601363
277,19124.04780395647
278,19073.59657648298
279,19023.145349009497
280,18955.173638129498
281,18886.798517009498
282,18877.67859784283
283,18866.24893310571
284,18650.496277867845
285,18620.324286771156
286,18363.98972615345
287,18337.073704972197
288,18302.473934530655
289,18270.74447215128
290,18237.763220761764
291,18209.708066858362
292,18173.89017530337
293,18143.7882249911
294,18110.782660689987
295,18079.400919705062
296,18054.335113590747
297,18027.8259423831
298,17986.18736466929
299,17954.122791460846
300,17927.677349622645
301,17889.6929879582
302,17848.868977791317
303,17818.939275595905
304,17786.104868457864
305,17750.595679135018
306,17716.765037374684
307,17685.01099918391
308,17655.562410655264
309,17632.40799530948
310,17600.187137851386
311,17571.064650256903
312,17538.668184999333
313,17501.522785898043
314,17465.868605991916
315,17441.308429188364
316,17388.332370556218
317,17365.833937202733
318,17330.71977749145
319,17295.564371362027
320,17261.818637699347
321,17230.52322353982
322,17198.27986653869
323,17166.700157872063
324,17141.72583499941
325,17108.456952857585
326,17073.041430759193
327,17038.94876672451
328,17010.63788590795
329,16978.169585298107
330,16942.563086806334
331,16903.620684240774
332,16878.399682529733
333,16852.371794039413
334,16818.604998563875
335,16783.553502013438
336,16745.819406102255
337,16713.111178928742
338,16670.464248328986
339,16642.30507230139
340,16607.076608365627
341,16577.11883887496
342,16549.71851924982
343,16512.543738059758
344,16471.931894237805
345,16436.949480060757
346,16407.524167185624
347,16375.942844251487
348,16342.066156454644
349,16301.555552824377
350,16270.272063516844
351,16241.59783388764
352,16216.518970308542
353,16177.984928224758
354,16145.062961687436
355,16104.121652719645
356,16065.201645272202
357,16035.944857010647
358,15999.14619610171
359,15966.188027183707
360,15930.281150102783
361,15902.605111772993
362,15881.572312926031
363,15837.462108761189
364,15808.514196606606
365,15770.47333402493
366,15741.738541728726
367,15710.433872928115
368,15673.025067575896
369,15625.42359335118
370,15587.25462285281
371,15557.918980209473
372,15523.52476452689
373,15486.219288150043
374,15452.997312427362
375,15415.889211923472
376,15384.022376001749
377,15350.830501454913
378,15313.224180635501
379,15285.366418731212
380,15247.961342811355
381,15215.039763941453
382,15177.988794889752
383,15137.15889894161
384,15110.539719330658
385,15082.25958383208
386,15046.738553088937
387,15018.140633099345
388,14979.273111615435
389,14949.33321600591
390,14923.912167927667
391,14891.173245792823
392,14859.997582900403
393,14828.728875959381
394,14798.245630931473
395,14769.646650089368
396,14734.31624133822
397,14698.469910733496
398,14667.915225647572
399,14633.31688096372
400,14602.24925991471
401,14563.190446510793
402,14527.624345255737
403,14491.18666438158
404,14460.973851725941
405,14418.891178466125
406,14380.588094402214
407,14353.387560678124
408,14324.737169821738
409,14281.655156098392
410,14244.628424350254
411,14212.758234005792
412,14177.290247173283
413,14150.040284959397
414,14115.904811472878
415,14082.042448769645
416,14044.277735422875
417,14012.114059657903
418,13981.576356415539
419,13943.440009589394
420,13912.871098663236
421,13868.40964820083
422,13841.228501488946
423,13814.5366863875
424,13786.027159202595
425,13754.477718493717
426,13719.022763923986
427,13682.800218366347
428,13652.379538665833
429,13617.919619286518
430,13578.437932626231
431,13545.99034898866
432,13509.580239598565
433,13468.295182536833
434,13416.811829013614
435,13384.348135480293
436,13349.031888506697
437,13313.27890739582
438,13266.624066154762
439,13233.011371887967
440,13202.140276995238
441,13169.550762616553
442,13136.397715747686
443,13095.25444851454
444,13060.731836507162
445,13029.896583887183
446,12995.015903548532
447,12965.093888852454
448,12939.406033203551
449,12903.902011346256
450,12862.370876377843
451,12834.63086922259
452,12799.191267080043
453,12769.422651539382
454,12731.822289797145
455,12693.198178300758
456,12656.34908523465
457,12612.898726178371
458,12565.326387982224
459,12522.867125389428
460,12484.120228785767
461,12448.419602239823
462,12417.000162955383
463,12376.910114129447
464,12344.594335538179
465,12308.794589206787
466,12261.243751363032
467,12227.26463981602
468,12188.950509670001
469,12155.310760354476
470,12118.210745449782
471,12082.815978980469
472,12036.364711314012
473,12003.534938409219
474,11960.185101959685
475,11920.504060755846
476,11879.702614411197
477,11846.930180125175
478,11804.67231269794
479,11771.60473250068
480,11733.934128345465
481,11692.480792197397
482,11658.359389667903
483,11615.203227826247
484,11579.054428543142
485,11545.429062077621
486,11505.35332425916
487,11472.055460467769
488,11442.996655723482
489,11409.149294777537
490,11370.07541000504
491,11335.284783810423
492,11290.568249073029
493,11256.178867224935
494,11218.689229316571
495,11174.531265835407
496,11134.089829410277
497,11101.318025538827
498,11057.307344136774
499,11030.009351202849
500,10993.307204490615
501,10954.130057362065
502,10913.212675011022
503,10870.562159110841
504,10840.227308962892
505,10799.002601278207
506,10751.212708237872
507,10708.592225581906
508,10665.696822332093
509,10622.648821950559
510,10591.54004702972
511,10558.032501668391
512,10522.3712021738
513,10482.853338636123
514,10452.561314145534
515,10415.927060176728
516,10379.283503320914
517,10343.550581692287
518,10309.817573487848
519,10267.564061777291
520,10228.772325590244
521,10190.194255749835
522,10141.89604458671
523,10105.29098972038
524,10070.38393432878
525,10033.06428694586
526,9984.147815932221
527,9941.188108626804
528,9912.097894385412
529,9865.370951022474
530,9819.204174131677
531,9776.99609074007
532,9739.748994546786
533,9699.177524613126
534,9666.199871639736
535,9638.1733378474
536,9593.565946896048
537,9558.083505574063
538,9515.48074762283
539,9481.847712550518
540,9441.166992966639
541,9396.008034432667
542,9364.41684256739
543,9321.94051630217
544,9284.629250754037
545,9242.557197379585
546,9199.762710763996
547,9164.556812507344
