Genus,Epithet,Status,threat_category,species
Abies,alba,LC,not_threatened,Abies alba
Abies,pinsapo,VU,threatened,Abies pinsapo
Acer,campestre,LC,not_threatened,Acer campestre
Acer,granatense,LC,not_threatened,Acer granatense
Acer,monspessulanum monspessulanum,LC,not_threatened,Acer monspessulanum monspessulanum
Acer,opalus,LC,not_threatened,Acer opalus
Aceras,anthropophorum,LC,not_threatened,Aceras anthropophorum
Achillea,ageratum,LC,not_threatened,Achillea ageratum
Achillea,chamaemelifolia,LC,not_threatened,Achillea chamaemelifolia
Achillea,filipendulina,NT,not_threatened,Achillea filipendulina
Achillea,ligustica,NT,not_threatened,Achillea ligustica
Achillea,maritima,LC,not_threatened,Achillea maritima
Achillea,millefolium ceretanica,LC,not_threatened,Achillea millefolium ceretanica
Achillea,millefolium millefolium,LC,not_threatened,Achillea millefolium millefolium
Achillea,nobilis nobilis,LC,not_threatened,Achillea nobilis nobilis
Achillea,odorata,LC,not_threatened,Achillea odorata
Achillea,ptarmica,LC,not_threatened,Achillea ptarmica
Achillea,pyrenaica,LC,not_threatened,Achillea pyrenaica
Achillea,santolinoides santolinoides,LC,not_threatened,Achillea santolinoides santolinoides
Achillea,setacea,LC,not_threatened,Achillea setacea
Achillea,tomentosa,LC,not_threatened,Achillea tomentosa
Achnatherum,calamagrostis,LC,not_threatened,Achnatherum calamagrostis
Acinos,alpinus,LC,not_threatened,Acinos alpinus
Acinos,arvensis,LC,not_threatened,Acinos arvensis
Acinos,rotundifolius,LC,not_threatened,Acinos rotundifolius
Aconitum,anthora,LC,not_threatened,Aconitum anthora
Aconitum,burnatii,VU,threatened,Aconitum burnatii
Aconitum,napellus castellanum,VU,threatened,Aconitum napellus castellanum
Aconitum,napellus lusitanicum,LC,not_threatened,Aconitum napellus lusitanicum
Aconitum,napellus vulgare,LC,not_threatened,Aconitum napellus vulgare
Aconitum,variegatum pyrenaicum,VU,threatened,Aconitum variegatum pyrenaicum
Aconitum,vulparia neapolitanum,LC,not_threatened,Aconitum vulparia neapolitanum
Actaea,spicata,LC,not_threatened,Actaea spicata
Adenocarpus,argyrophyllus,LC,not_threatened,Adenocarpus argyrophyllus
Adenocarpus,aureus,LC,not_threatened,Adenocarpus aureus
Adenocarpus,complicatus,LC,not_threatened,Adenocarpus complicatus
Adenocarpus,decorticans,LC,not_threatened,Adenocarpus decorticans
Adenocarpus,desertorum,NT,not_threatened,Adenocarpus desertorum
Adenocarpus,gibbsianus,CR,threatened,Adenocarpus gibbsianus
Adenocarpus,hispanicus,LC,not_threatened,Adenocarpus hispanicus
Adenocarpus,lainzii,LC,not_threatened,Adenocarpus lainzii
Adenocarpus,telonensis,LC,not_threatened,Adenocarpus telonensis
Adenostyles,alliariae alliariae,VU,threatened,Adenostyles alliariae alliariae
Adenostyles,alliariae pyrenaica,LC,not_threatened,Adenostyles alliariae pyrenaica
Adiantum,capillus-veneris,LC,not_threatened,Adiantum capillus-veneris
Adonis,aestivalis aestivalis,NT,not_threatened,Adonis aestivalis aestivalis
Adonis,aestivalis squarrosa,LC,not_threatened,Adonis aestivalis squarrosa
Adonis,annua,LC,not_threatened,Adonis annua
Adonis,flammea,LC,not_threatened,Adonis flammea
Adonis,microcarpa,LC,not_threatened,Adonis microcarpa
Adonis,pyrenaica,NT,not_threatened,Adonis pyrenaica
Adonis,vernalis,LC,not_threatened,Adonis vernalis
Adoxa,moschatellina,RE,threatened,Adoxa moschatellina
Aegilops,geniculata,LC,not_threatened,Aegilops geniculata
Aegilops,neglecta,LC,not_threatened,Aegilops neglecta
Aegilops,triuncialis,LC,not_threatened,Aegilops triuncialis
Aegilops,ventricosa,LC,not_threatened,Aegilops ventricosa
Aegonychon,gastoni,EN,threatened,Aegonychon gastoni
Aegonychon,purpurocaeruleum,LC,not_threatened,Aegonychon purpurocaeruleum
Aegopodium,podagraria,NT,not_threatened,Aegopodium podagraria
Aeluropus,littoralis,LC,not_threatened,Aeluropus littoralis
Aethionema,marginatum,LC,not_threatened,Aethionema marginatum
Aethionema,monospermum,LC,not_threatened,Aethionema monospermum
Aethionema,saxatile,LC,not_threatened,Aethionema saxatile
Aethionema,thomasianum,NT,not_threatened,Aethionema thomasianum
Aethusa,cynapium cynapium,VU,threatened,Aethusa cynapium cynapium
Agrimonia,eupatoria eupatoria,LC,not_threatened,Agrimonia eupatoria eupatoria
Agrimonia,eupatoria grandis,LC,not_threatened,Agrimonia eupatoria grandis
Agrimonia,procera,NT,not_threatened,Agrimonia procera
Agropyron,cristatum pectinatum,LC,not_threatened,Agropyron cristatum pectinatum
Agrostemma,githago,LC,not_threatened,Agrostemma githago
Agrostis,agrostiflora,VU,threatened,Agrostis agrostiflora
Agrostis,alpina,LC,not_threatened,Agrostis alpina
Agrostis,canina canina,LC,not_threatened,Agrostis canina canina
