Species,rates
Blasia,0.0024420078597086085
Lunularia,0.002093249657664572
Marchantia,0.0019012621430150706
Riccia,0.0021411176971927437
Reboulia,0.0017423523860857339
Conocephalum,0.0017194045911056706
Haplomitrium,0.003004062460222571
Fossombronia,0.002052065581561522
Pellia,0.001779041949858529
Riccardia,0.002864733056927626
Aneura,0.0016496101964394293
Cryptothallus,0.0015140446961011734
Metzgeria,0.0022080856867260864
Porella,0.0029870910056112566
Frullania,0.0023361915547285665
Radula,0.00301612813059112
Jubula,0.002065657210367113
Lejeunea,0.0027698440454733894
Mylia,0.004332191252272706
Blepharostoma,0.0052649127517276975
Herbertus,0.0060867515302378775
Lepidozia,0.007913355443823386
Kurzia,0.005986094310648301
Bazzania,0.006323940793755811
Lophocolea,0.008221047504375136
Chiloscyphus,0.008878455655389516
Pedinophyllum,0.010011540206232968
Plagiochila,0.007608646411788282
Cephaloziella,0.012606665132618388
Odontoschisma,0.00832012727238506
Nowellia,0.010047655505536168
Lophozia,0.015360903228126666
Diplophyllum,0.012726654354813415
Anastrophyllum,0.016954868885294495
Jungermannia,0.010542845301597976
Barbilophozia,0.010833409902660927
Calypogeia,0.00778082146363007
Harpanthus,0.008227504222684196
Nardia,0.01277781812043475
Gymnomitrion,0.010080372036028516
Marsupella,0.009469557351348972
Geocalyx,0.009736716893847235
Saccogyna,0.006364858568559931
Polytrichum,0.00265636149570576
Sphagnum,0.0033426998351461217
Entosthodon,0.0021695992697843163
Physcomitrella,0.0026438777039726716
Calymperes,0.004600724893592061
Goniomitrium,0.0035246095303543166
Dicranum,0.004279824503532994
Philonotis,0.006474286145686173
Plagiothecium,0.009056596548813694
Sanionia,0.007540952000302218
Brachythecium,0.007992071595949297
Hylocomium,0.011093505452059976
Pleurozium,0.013057096035882407
Hypnum,0.009194329800911831
Palustriella,0.01062627527189572
Anomodon,0.014263226234870658
Jaegerina,0.00918877344538843
Hamatocaulis,0.008661491378011378
Phaeoceros,0.001682338803021287
Anthoceros,0.0023966132297797405
Phlegmariurus,0.0018892760126588718
Huperzia,0.0016835631572929258
Lycopodiella,0.0029630739447330423
Lycopodium,0.003667996062114653
Austrolycopodium,0.003012343920571158
Diphasium,0.00291095468238463
Diphasiastrum,0.0031228319586686978
Isoetes,0.002166528040247953
Cephaloceraton,0.001469921153867716
Selaginella,0.001997006930671994
Marattia,0.0020359336716656426
Angiopteris,0.001815482762597208
Tmesipteris,0.0018117085639541733
Psilotum,0.0020432021791405752
Ophioglossum,0.0018538640022224973
Botrychium,0.0015514356060950614
Equisetum,0.0030964279531061904
Osmunda,0.0028916800163085662
Todea,0.001896796644690575
Leptopteris,0.002155074111149265
Dicranopteris,0.005209288628548698
Diplopterygium,0.0037033096257072383
Gleichenia,0.0024352605778086072
Sticherus,0.003843781822450669
Trichomanes,0.005901662014282077
Cephalomanes,0.004937048516809787
Abrodictyum,0.004402661745619242
Polyphlebium,0.008128498056617873
Hemiphlebium,0.006164030539778969
Didymoglossum,0.005088753941857342
Crepidomanes,0.0068285910064485155
Vandenboschia,0.005470883734697363
Hymenophyllum,0.005397943545341704
Schizaea,0.003189426029343259
Anemia,0.0026458625526506775
Lygodium,0.004459160185101975
Cibotium,0.0069038653547097584
Calochlaena,0.0061118669523584765
Dicksonia,0.004774520000476086
Balantium,0.0049530338334643305
Cyathea,0.0046855269834003895
Sphaeropteris,0.0075032710334698395
Alsophila,0.008080978378478527
Salvinia,0.005136581532486813
Azolla,0.004838225380332312
Calamistrum,0.0032174740709920054
Pilularia,0.003655907931061258
Marsilea,0.005385888417177941
Saccoloma,0.005410225864982514
Lindsaea,0.005633999051311914
Cryptogramma,0.009703275985904635
Pityrogramma,0.007771750531220716
Anogramma,0.0074931345176099205
Pteris,0.007580540165921609
Onychium,0.008011670156151411
Cheilanthes,0.008001581472504793
Pellaea,0.006560661119148889
Anetium,0.008603094552960775
Vittaria,0.010202744097757893
Hecistopteris,0.0072589061715867065
Haplopteris,0.008003712336617475
Adiantum,0.010441995381649386
Monachosorum,0.008379682204998226
Pteridium,0.008581102979627046
Histiopteris,0.006205045394798674
Hypolepis,0.006597139085126711
Dennstaedtia,0.0056364491293642675
Microlepia,0.007054124311827029
Asplenium,0.005571032371573433
Hymenasplenium,0.006557232800883318
Ceterach,0.008474281713971316
Cyclosorus,0.005299225399581034
Phyllitopsis,0.006375998423536574
Gymnocarpium,0.010115323345453401
Acystopteris,0.007929131932377311
Cystopteris,0.006444670135609507
Macrothelypteris,0.009937317569958281
Phegopteris,0.011550681572089622
Thelypteris,0.016833860745085236
Oreopteris,0.01006532563841377
Pronephrium,0.011131305757779368
Parathelypteris,0.017199252696009887
Diplazium,0.014495420318525722
Anisocampium,0.011507527588184414
Athyrium,0.00982854554044028
Onoclea,0.011074534969217351
Matteuccia,0.012180912885567283
Blechnum,0.018254072267372756
Sadleria,0.013930477207941865
Doodia,0.018577470894485255
Hypodematium,0.013696512741287064
Lomariopsis,0.013511625689412901
Nephrolepis,0.012554072440115185
Humata,0.012688306739788558
Arthropteris,0.011259203077665484
Tectaria,0.02184202983622201
Polypodium,0.02428986626963057
Campyloneurum,0.014640091312620453
Microgramma,0.01587759589491936
Grammitis,0.024149656547593053
Ctenopteris,0.022791373355295696
Adenophorus,0.028246210139960135
Platycerium,0.017453216883339777
Pyrrosia,0.019037528720806163
Pleopeltis,0.026757578692730002
Serpocaulon,0.038124283390299725
Bolbitis,0.02582889857293479
Colysis,0.032489613062856644
Microsorum,0.032831176809258865
Phymatosorus,0.03585055249982939
Neocheiropteris,0.04116267337237605
Lepisorus,0.03275809289085566
Tricholepidium,0.04174832114957947
Rumohra,0.011566632752879672
Lastreopsis,0.007197707691071468
Elaphoglossum,0.01634631170005853
Ctenitis,0.01935501521917278
Cyrtomium,0.010320825922203769
Polystichum,0.013724716856381646
Polybotrya,0.017112636199301257
Arachniodes,0.0159026473325597
Acrophorus,0.012348466255360176
Dryopteris,0.010356237314474052
Nothoperanema,0.014482743017198376
Dryopsis,0.010246625907140604
Ginkgo,0.00396753015556088
Cycas,0.0036312063491339194
Encephalartos,0.0029791777633016423
Dioon,0.003917727983640876
Stangeria,0.005858514871383158
Microcycas,0.003454374451642495
Zamia,0.0035686097271045883
Ceratozamia,0.006035264900291626
Bowenia,0.004966446126909201
Macrozamia,0.003226154462661757
Lepidozamia,0.003882483770161086
Welwitschia,0.0020912726814071715
Gnetum,0.002264920859957863
Ephedra,0.003463826368981697
Cedrus,0.004185736619972006
Keteleeria,0.003762948797100806
Pseudolarix,0.002429678348124406
Nothotsuga,0.002438616483432263
Tsuga,0.0020942119315141344
Abies,0.00393403129738913
Larix,0.0025468359758701277
Pseudotsuga,0.0019971575335131406
Cathaya,0.0017846909754649107
Picea,0.001842122314761414
Pinus,0.003048218180825274
Sciadopitys,0.005214380035951156
Cephalotaxus,0.004638971940181965
Amentotaxus,0.003387456850683108
Torreya,0.003009236963279399
Austrotaxus,0.004802149284291423
Pseudotaxus,0.002717361189317486
Taxus,0.002623386812876154
Cunninghamia,0.005434226472426575
Taiwania,0.006793781332967516
Metasequoia,0.006402737502549901
Sequoiadendron,0.005294752648269757
Sequoia,0.004676529307164617
Athrotaxis,0.009392473845428996
Cryptomeria,0.007148453117792181
Glyptostrobus,0.005552135905843458
Taxodium,0.006891876102895467
Papuacedrus,0.011274211002683712
Austrocedrus,0.01932731621288271
Libocedrus,0.01256888903269427
Pilgerodendron,0.00990421963455214
Diselma,0.011616466514226782
Fitzroya,0.0119901241962744
Widdringtonia,0.014784851036861377
Callitris,0.011872799978423384
Actinostrobus,0.018095437639327795
Thujopsis,0.007153558607203113
Thuja,0.007547670003910709
Chamaecyparis,0.007663263770429302
Fokienia,0.007355754054366169
Tetraclinis,0.010211272866275305
Platycladus,0.009990683262334411
Microbiota,0.008288227128346128
Calocedrus,0.013193722531035432
Cupressus,0.010488400868176748
Juniperus,0.009158552854647116
Wollemia,0.0027278828501926394
Agathis,0.002473332554051215
Araucaria,0.003192493623034937
Lepidothamnus,0.0044607253590978535
Phyllocladus,0.004481407553497235
Manoao,0.003961210563411327
Parasitaxus,0.004524191429342962
Halocarpus,0.006330572490047744
Prumnopitys,0.005790426250032954
Podocarpus,0.003996190841774254
Sundacarpus,0.004722917765421946
Saxegothaea,0.00533371809862008
Microcachrys,0.004053690020206424
Lagarostrobos,0.0034346382900369583
Pherosphaera,0.00843243651956715
Acmopyle,0.008834771548856259
Dacrycarpus,0.01149432543368455
Falcatifolium,0.007902137849876808
Dacrydium,0.006584208400495621
Retrophyllum,0.009148418472725661
Afrocarpus,0.008357564175715414
Nageia,0.006957194608169678
Trithuria,0.0030056428836584223
Brasenia,0.0032721618589874315
Cabomba,0.0037131867809239104
Nuphar,0.004433209484161088
Barclaya,0.004803598714501323
Euryale,0.005240004373189247
Victoria,0.003671632354921284
Nymphaea,0.003954166389306887
Amborella,0.003802311757028249
Austrobaileya,0.003997306369898411
Trimenia,0.0035557884177472594
Illicium,0.0031213549230181803
Kadsura,0.0019728708406763448
Schisandra,0.002313121706578584
Hedyosmum,0.003774009254797635
Ascarina,0.0038405256181977955
Sarcandra,0.0027029997321297663
Chloranthus,0.0026410485842627476
Ceratophyllum,0.007443222172480195
Acorus,0.007201808866163526
Aponogeton,0.008694148707114751
Scheuchzeria,0.008085215889289751
Posidonia,0.007624006249882283
Ruppia,0.007074458196806557
Halodule,0.01788260443428832
Cymodocea,0.02110235619138374
Amphibolis,0.013268942513479853
Thalassodendron,0.012336819386985783
Syringodium,0.019471800474403174
Phyllospadix,0.009144375433451089
Zostera,0.01002652209328871
Stuckenia,0.014634832752320687
Lepilaena,0.01287534785548118
Groenlandia,0.009875320767774117
Zannichellia,0.009943752769548724
Potamogeton,0.015161927911395725
Butomus,0.0131601950080229
Hydrocharis,0.00790719626518228
Limnobium,0.008521079670185535
Lagarosiphon,0.018347735450340144
Blyxa,0.014683713695271093
Ottelia,0.012116171746113015
Elodea,0.011621256680535168
Egeria,0.01148715125369052
Stratiotes,0.01726973362772357
Halophila,0.014587514119152009
Enhalus,0.010984680752222857
Thalassia,0.016605597949464684
Najas,0.01462191833205789
Hydrilla,0.020713811480492495
Nechamandra,0.018748711732292464
Vallisneria,0.01781362739656519
Maundia,0.009727105059308525
Tetroncium,0.009530097311208985
Cycnogeton,0.009170124245740504
Triglochin,0.008443584962172538
Sagittaria,0.013536089414810255
Luronium,0.01885490190792755
Damasonium,0.014382538777895786
Baldellia,0.010406530840780375
Alisma,0.00840944499163498
Limnocharis,0.01395434860415918
Hydrocleys,0.012322541384098952
Ranalisma,0.016453389042225902
Echinodorus,0.017664885938707645
Caldesia,0.014106096123747107
Wiesneria,0.011868223166883844
Pleea,0.007988525083733213
Isidrogalvia,0.006726858289682965
Triantha,0.00431791398147555
Tofieldia,0.0032938694781775987
Gymnostachys,0.007055179357654285
Orontium,0.0057416964479340415
Lysichiton,0.005422495388911986
Symplocarpus,0.004379914413746593
Spirodela,0.007686716860367728
Lemna,0.006520958543979907
Wolffia,0.005053088617343148
Wolffiella,0.005317853127615742
Epipremnum,0.005724431398496701
Spathiphyllum,0.006648682628009109
Rhaphidophora,0.009159786579306925
Heteropsis,0.007601148550636239
Monstera,0.007106995209473538
Lasia,0.011670422096683092
Anthurium,0.01166618157473863
Zamioculcas,0.007526094272665296
Gonatopus,0.0077975370765948305
Montrichardia,0.011878550036766626
Philodendron,0.011531161427945009
Anubias,0.022169076469066802
Furtadoa,0.017980731543667063
Aglaonema,0.017006402421420957
Cercestis,0.023190624997993958
Anchomanes,0.02259116067352633
Zantedeschia,0.03569291355684044
Gearum,0.055828601987734414
Bognera,0.10057372925865894
Spathantheum,0.15789456725906587
Incarum,0.11375247636524256
Gorgonidium,0.11247188084609991
Mangonia,0.13369919080772946
Dieffenbachia,0.1317952020380532
Synandrospadix,0.11966633024561173
Croatiella,0.09695375927546362
Spathicarpa,0.07789816192359017
Taccarum,0.0915680084491511
Asterostigma,0.09519557557267874
Calla,0.0187555194211871
Syngonium,0.023476494495073705
Caladium,0.019364367739634934
Scaphispatha,0.024465114025074255
Filarum,0.03278413215793406
Chlorospatha,0.024637379577312032
Xanthosoma,0.023611684905680504
Arisarum,0.02376460147385591
Peltandra,0.02517378262931758
Pistia,0.03904621384444457
Ariopsis,0.04055719181078402
Colocasia,0.03963313044301873
Remusatia,0.03554494591106332
Alocasia,0.04693965172774779
Pinellia,0.053064171376843265
Arisaema,0.07400650640491008
Typhonium,0.07099579113526115
Sauromatum,0.09405374777626223
Helicodiceros,0.11169929729785255
Dracunculus,0.11386294186427454
Arum,0.09289358750006096
Amorphophallus,0.01748428915882926
Pseudodracontium,0.020028241707263077
Petrosavia,0.005689331082711246
Japonolirion,0.005129717944471397
Sciaphila,0.005268175285980228
Kupea,0.005480073060570942
Pentastemona,0.009578041825367834
Stemona,0.0083157812830924
Stichoneuron,0.005918682458029176
Croomia,0.005581788936255529
Barbacenia,0.006452271524460283
Xerophyta,0.006823709585272229
Cyclanthus,0.013667939343380415
