Correction,tau,estimate,std.error,t.value,p.value
Not corrected,0.1,-0.0030875407733880512,0.0014911632701663654,-2.0705584929298735,0.038831522620532244
Not corrected,0.2,3.038671470760076e-4,7.069999954888819e-4,0.4297979476872375,0.6674984937413395
Not corrected,0.30000000000000004,-4.3334521738050296e-19,9.121393725516661e-4,-4.750866264748999e-16,0.9999999999999996
Not corrected,0.4,0,0.0010060894960390683,0,1
Not corrected,0.5,0,0.0010410949629055541,0,1
Not corrected,0.6,0,0.0010060894960390683,0,1
Not corrected,0.7000000000000001,-3.0956014725809475e-19,9.12139372551666e-4,-3.393781219991799e-16,0.9999999999999998
Not corrected,0.8,0,8.052903859886445e-4,0,1
Not corrected,0.9,0,6.805303876584325e-4,0,1
Low extinction,0.1,-0.0056927216214524975,0.0024937061685150336,-2.282835762018599,0.022792518931834316
Low extinction,0.2,2.168404344971009e-19,0.001505800484150562,1.4400342992280473e-16,1
Low extinction,0.30000000000000004,0,0.0015266135343372836,0,1
Low extinction,0.4,0,0.0016838543402760747,0,1
Low extinction,0.5,0,0.001742441680218081,0,1
Low extinction,0.6,1.3658064335862216e-18,0.001683854340276075,8.111191098407549e-16,0.9999999999999993
Low extinction,0.7000000000000001,0,0.0015266135343372834,0,1
Low extinction,0.8,0,0.0013477843839619203,0,1
Low extinction,0.9,0,0.0011389782434463598,0,1
Intermediate extinction,0.1,-0.0073932054218175895,0.004981480948043365,-1.4841380502963692,0.1383027269335244
Intermediate extinction,0.2,-0.0014033465975487147,0.0028665360665516984,-0.4895618143178891,0.6246247419746822
Intermediate extinction,0.30000000000000004,0,0.002962405607391445,0,1
Intermediate extinction,0.4,2.011203411153664e-18,0.003267532631845632,6.155113468653124e-16,0.9999999999999996
Intermediate extinction,0.5,0,0.0033812218272199486,0,1
Intermediate extinction,0.6,0,0.003267532631845632,0,1
Intermediate extinction,0.7000000000000001,0,0.0029624056073914444,0,1
Intermediate extinction,0.8,0,0.002615386230239781,0,1
Intermediate extinction,0.9,0,0.002210196267221676,0,1
High extinction,0.1,-0.013476058940226814,0.01159333768995304,-1.1623968265761264,0.24554111423767822
High extinction,0.2,-0.002496022575734553,0.0060128021313215225,-0.41511803003335573,0.6782053962540573
High extinction,0.30000000000000004,0,0.006206416059961862,0,1
High extinction,0.4,0,0.006845675336333671,0,1
High extinction,0.5,0,0.007083860967043647,0,1
High extinction,0.6,0,0.006845675336333671,0,1
High extinction,0.7000000000000001,0,0.006206416059961862,0,1
High extinction,0.8,0,0.005479389811396077,0,1
High extinction,0.9,0,0.004630492723321323,0,1
