replicate,K,p_value_K,lambda,logL,p_value_lambda
1,0.01263140014885968,0.5400000000000003,7.331374358574057e-5,97.62201022296608,1
2,0.012583833458957196,0.5900000000000003,7.331374358574057e-5,98.3946368627868,1
3,0.012390788403831102,0.5500000000000003,7.331374358574057e-5,97.72847295244264,1
4,0.012571554527251732,0.5000000000000002,7.331374358574057e-5,98.75450331246259,1
5,0.015088203990214617,0.3100000000000001,7.331374358574057e-5,78.95448601077499,1
6,0.012577196131956906,0.5100000000000002,7.331374358574057e-5,98.80679149325636,1
7,0.012588285885122771,0.5000000000000002,7.331374358574057e-5,98.31728498325106,1
8,0.012611773187037127,0.49000000000000027,7.331374358574057e-5,95.55860368856327,1
9,0.012566310499913608,0.5000000000000002,7.331374358574057e-5,97.97593876611654,1
10,0.012578662019532503,0.6000000000000003,7.331374358574057e-5,97.54452851321048,1
11,0.01261221120895502,0.49000000000000027,7.331374358574057e-5,96.77658331938494,1
12,0.012948219001870143,0.4200000000000002,7.331374358574057e-5,88.69251026781967,1
13,0.0125880595773917,0.5700000000000003,7.331374358574057e-5,98.77127163109412,1
14,0.01257224791453695,0.5100000000000002,7.331374358574057e-5,98.75680462922992,1
15,0.012933134946460019,0.4400000000000002,7.331374358574057e-5,88.00665597412626,1
16,0.012646356177715099,0.5500000000000003,7.331374358574057e-5,97.06038788242984,1
17,0.01276381449527673,0.5500000000000003,7.331374358574057e-5,93.55034184973113,1
18,0.012558985712229392,0.5300000000000002,7.331374358574057e-5,98.79985581809365,1
19,0.012765675516483964,0.5900000000000003,7.331374358574057e-5,94.71082657753846,1
20,0.0129205001806645,0.5300000000000002,7.331374358574057e-5,87.3990566862791,1
21,0.012588407365391428,0.5000000000000002,7.331374358574057e-5,98.42416438292321,1
22,0.012592372693489362,0.5900000000000003,7.331374358574057e-5,97.95332169637368,1
23,0.012572928953872782,0.5100000000000002,7.331374358574057e-5,98.77133081398142,1
24,0.01243866160477803,0.5700000000000003,7.331374358574057e-5,96.58455496296403,1
25,0.012947595269260698,0.5200000000000002,7.331374358574057e-5,75.85991852386417,1
26,0.01302878039598063,0.49000000000000027,7.331374358574057e-5,85.5082111707477,1
27,0.012928101719594253,0.48000000000000026,7.331374358574057e-5,88.62079586853338,1
28,0.012565482172878268,0.6300000000000003,7.331374358574057e-5,98.5159237767316,1
29,0.012587786282212868,0.5300000000000002,7.331374358574057e-5,98.31178734034427,1
30,0.012568865631627343,0.5300000000000002,7.331374358574057e-5,98.80799610896838,1
31,0.012563748022315682,0.5200000000000002,7.331374358574057e-5,97.67543935292531,1
32,0.012576786587703592,0.49000000000000027,7.331374358574057e-5,98.77359439603595,1
33,0.012606565726490392,0.5700000000000003,7.331374358574057e-5,98.02838615133032,1
34,0.01295880790730097,0.4300000000000002,7.331374358574057e-5,88.44670887399104,1
35,0.012949187088523453,0.46000000000000024,7.331374358574057e-5,88.10570558668815,1
36,0.01333032324855786,0.45000000000000023,7.331374358574057e-5,76.87244942164034,1
37,0.014786129371041706,0.3300000000000001,7.331374358574057e-5,87.79559078145166,1
38,0.012895628139333709,0.49000000000000027,7.331374358574057e-5,79.1653261801132,1
39,0.01245937498331419,0.6000000000000003,7.331374358574057e-5,97.63188068752493,1
40,0.012582441929162882,0.6000000000000003,7.331374358574057e-5,98.46502847363615,1
41,0.01257224791453695,0.4200000000000002,7.331374358574057e-5,98.75680462922992,1
42,0.012587958278188024,0.47000000000000025,7.331374358574057e-5,98.36766852909341,1
43,0.012647087050512339,0.5900000000000003,7.331374358574057e-5,96.60465846818886,1
44,0.01249700863866956,0.4300000000000002,7.331374358574057e-5,89.00661612899705,1
45,0.012875364434035226,0.5100000000000002,7.331374358574057e-5,79.77580417413208,1
46,0.012558544893145724,0.5100000000000002,7.331374358574057e-5,98.80832142715133,1
47,0.012568865631627343,0.5800000000000003,7.331374358574057e-5,98.80799610896838,1
48,0.0124518682046706,0.47000000000000025,7.331374358574057e-5,97.82809204423393,1
49,0.012584377039555552,0.5300000000000002,7.331374358574057e-5,97.427663927764,1
50,0.012584334389805907,0.5400000000000003,7.331374358574057e-5,98.55326345113428,1
