replicate,K,p_value_K,lambda,logL,p_value_lambda
1,0.00696582479580541,0.01,0.7801200354203645,1034.8924063577597,2.8222882091714465e-16
2,0.00714224095252289,0.01,0.7663213340689405,1074.1595304562911,3.829148191729011e-16
3,0.00717817869324738,0.02,0.7734023970775082,1046.2787401538826,9.139908046326846e-17
4,0.00656725170389512,0.01,0.7491213071046642,999.036676485593,2.0661170304754488e-14
5,0.00711284121887524,0.02,0.7330831460882846,1013.8913377072286,3.8996569472234106e-13
6,0.00607407588711824,0.06,0.6688250181435241,1049.2614891644153,5.789800503018632e-13
7,0.00637359863789456,0.03,0.668188234989087,960.2508072326054,1.3638289111040472e-13
8,0.00906850397025116,0.01,0.7639766449183746,1008.8033457648484,2.6143241322615407e-15
9,0.00672880430428585,0.02,0.6761581904084528,1045.4582887172755,3.699053178984578e-13
10,0.00690628919043432,0.02,0.7278532375882242,1012.5390348125966,1.6894355323504717e-12
11,0.00731858469449695,0.03,0.7263602299749794,1019.6960856465504,6.012008245071961e-12
12,0.00761293951109034,0.02,0.7797100145647314,1048.419950725357,2.1341066308183454e-17
13,0.00650823285076681,0.02,0.33108109374632466,1019.8401094067603,1.3935011376341014e-6
14,0.00762410341041978,0.01,0.77973399122931,1023.741922954343,8.479307181261042e-18
15,0.00559596204639831,0.09,0.566204636006533,1048.3182941761406,7.854602515988016e-8
16,0.0077225813561101,0.01,0.6883537682662167,1070.2274779989984,1.1370581331406754e-16
17,0.0077367179700344,0.01,0.6905389291897579,1015.6490900996878,4.7367870015199415e-14
18,0.00710550632719318,0.03,0.5744333359876389,957.914966935212,3.9730609657757557e-10
19,0.00730429374635047,0.02,0.7396768670906341,1019.9011042923798,5.99250471362747e-14
20,0.00655403159218497,0.02,0.7185508027306172,1011.9497614161888,1.203336561584623e-12
21,0.00774718768781095,0.01,0.6293031911046201,1006.9589346627532,3.617596748585345e-12
22,0.00729058937417065,0.01,0.7668559034175397,1035.4201114790385,3.989062873238826e-17
23,0.00678546280385565,0.03,0.6762583329436854,1023.1850761081614,3.6414439097130995e-13
24,0.00739317375889112,0.01,0.6641123017563051,1043.008013979219,1.5645102007039752e-10
25,0.00692563269199244,0.02,0.7013734465009857,997.8252321286964,4.7067389683183216e-14
26,0.00663843805527334,0.01,0.6846347931167882,980.3816499714088,1.6637895898683777e-13
