replicate,K,p_value_K,lambda,logL,p_value_lambda
1,0.02767576248299129,0.06,7.334090489427263e-5,400.58838188138657,1
2,0.02729688370920019,0.06,6.11938616471188e-5,406.5220212533295,1
3,0.0275327369302474,0.03,7.334090489427263e-5,427.4019237022096,1
4,0.02742693850862483,0.03,0.07553656409509237,369.0627749086698,0.4311782228532886
5,0.02420848053314931,0.11,7.334090489427263e-5,386.652332330435,1
6,0.02893567694445208,0.01,7.334090489427263e-5,407.7089017054506,1
7,0.02527945439371319,0.09,7.334090489427263e-5,418.3602982357363,1
8,0.02806357098578549,0.06,7.334090489427263e-5,416.69772843917417,1
9,0.02718833273385754,0.05,7.334090489427263e-5,396.8950446659535,1
10,0.02526233212562297,0.03,7.334090489427263e-5,408.2223382604384,1
11,0.02383874088518301,0.09,7.334090489427263e-5,402.0910919000871,1
12,0.02456793326957947,0.1,7.334090489427263e-5,410.6499042775397,1
13,0.02759550908123092,0.07,7.334090489427263e-5,415.6618137686687,1
14,0.025675202657885,0.07,7.334090489427263e-5,422.5094968584326,1
15,0.02430345426306594,0.09,7.334090489427263e-5,407.8368559999672,1
16,0.02885795041941175,0.03,7.334090489427263e-5,381.3058328683581,1
17,0.02651614142067863,0.09,7.334090489427263e-5,404.4815905239852,1
18,0.02153172086309439,0.11,7.334090489427263e-5,398.22578726276674,1
19,0.02701543093814836,0.05,7.334090489427263e-5,423.80407201156,1
20,0.02770302599003143,0.05,7.334090489427263e-5,427.5084222295736,1
21,0.02364669005319058,0.11,7.334090489427263e-5,413.63920235077944,1
22,0.02700716350689889,0.07,7.334090489427263e-5,419.9005831651532,1
23,0.0231886611094784,0.11,7.334090489427263e-5,419.97090793266943,1
24,0.0265336693311856,0.02,7.334090489427263e-5,384.5022285944374,1
25,0.02872373150708618,0.04,0.01465634257088537,423.85742916915115,1
26,0.02779858677476727,0.05,7.334090489427263e-5,428.9156939944696,1
27,0.02712486119645562,0.09,7.334090489427263e-5,420.41980626104464,1
28,0.0277563747690028,0.06,7.334090489427263e-5,427.5366304478357,1
29,0.02627764460639824,0.04,7.334090489427263e-5,415.65721244890983,1
30,0.02713971592584673,0.07,7.334090489427263e-5,422.10105068073335,1
31,0.02835467747638441,0.04,0.05938890156118235,392.7797316647418,0.4213632345470415
32,0.02734134515650353,0.04,7.334090489427263e-5,422.8729077085493,1
33,0.02539720019195317,0.09,7.334090489427263e-5,420.33712795344286,1
34,0.02609455403701815,0.05,7.334090489427263e-5,427.17529276078176,1
35,0.02436208975789548,0.11999999999999998,7.334090489427263e-5,411.2285556924285,1
36,0.02497833495259992,0.08,7.334090489427263e-5,424.79704597088835,1
37,0.02536782083965364,0.04,7.334090489427263e-5,421.4523462614836,1
38,0.02608960931041758,0.07,7.334090489427263e-5,398.81488856861506,1
39,0.02940729389908877,0.04,7.334090489427263e-5,406.17399892810545,1
40,0.02713018357402926,0.03,7.334090489427263e-5,420.15792560998057,1
41,0.0281400088137284,0.07,7.334090489427263e-5,400.6201366763423,1
42,0.02038165361716018,0.18000000000000002,7.334090489427263e-5,394.2740316923648,1
43,0.02822179524703271,0.05,7.334090489427263e-5,417.2115549644377,1
44,0.02726288883887431,0.06,7.334090489427263e-5,424.3348841522329,1
45,0.02838085993931166,0.09,0.06515971351771227,403.11934030830935,0.5802810682481165
46,0.02576767451283888,0.09,7.334090489427263e-5,419.5655535293281,1
47,0.02672804762314391,0.03,7.334090489427263e-5,418.6938937936893,1
48,0.02845476447369578,0.03,7.334090489427263e-5,421.8294928332568,1
49,0.02506806962738182,0.09,7.334090489427263e-5,404.3346523276789,1
50,0.02759092473266851,0.04,7.334090489427263e-5,421.82730446156097,1
51,0.02603547650806712,0.07,7.334090489427263e-5,427.040794800542,1
52,0.0227641828582194,0.15,7.334090489427263e-5,403.01137683105094,1
53,0.02708079184206617,0.07,7.334090489427263e-5,419.5196839542655,1
54,0.02776423007068916,0.03,7.334090489427263e-5,416.5722884324864,1
55,0.02542933401554122,0.14,7.334090489427263e-5,417.17814245462387,1
56,0.02503728904766974,0.07,7.334090489427263e-5,426.0428116257058,1
57,0.02349294075386159,0.1,7.334090489427263e-5,401.8865501485693,1
58,0.02772975227357633,0.05,7.334090489427263e-5,402.8249127187864,1
59,0.02806076576341492,0.04,7.334090489427263e-5,422.5264307455866,1
60,0.02686016286888341,0.07,7.334090489427263e-5,397.0327064653022,1
61,0.02566849536445068,0.09,7.334090489427263e-5,405.7679543206104,1
62,0.02449877868684294,0.11,7.334090489427263e-5,384.0835681555059,1
63,0.0271201775587913,0.07,7.334090489427263e-5,425.497500530101,1
64,0.0284626707402756,0.06,0.02018961378465255,406.0589885905388,1
65,0.02831597093209781,0.06,7.334090489427263e-5,403.1875238364653,1
66,0.02830696600341794,0.03,7.334090489427263e-5,418.83643272660015,1
67,0.02792603943341837,0.03,7.334090489427263e-5,427.3158274543898,1
68,0.0236353783715535,0.08,7.334090489427263e-5,364.99113406356423,1
69,0.02733654437918118,0.03,5.8784270769616945e-5,414.5657090427253,1
70,0.02720212727296529,0.05,7.334090489427263e-5,424.2366430165746,1
71,0.02381454935643606,0.09,7.334090489427263e-5,398.7546290956477,1
72,0.02781147419641827,0.04,7.334090489427263e-5,423.1844476457704,1
73,0.02427176996133333,0.07,0.05257234423096463,397.2290565675253,1
74,0.02779411002717067,0.03,7.334090489427263e-5,428.49171531665274,1
75,0.0281115727884178,0.04,0.02229643567187877,406.8819681042469,1
76,0.02779052503986837,0.05,7.334090489427263e-5,421.3812504335442,1
77,0.02761950235654999,0.04,7.334090489427263e-5,418.0048383640485,1
78,0.02706754113900673,0.02,7.334090489427263e-5,423.83754126258464,1
79,0.0281808429757037,0.03,7.334090489427263e-5,384.0934606341382,1
80,0.02673137212010766,0.04,0.04126213051640531,398.20291581911965,1
81,0.02555043179933992,0.06,7.334090489427263e-5,403.2693227872189,1
82,0.02781994750771304,0.03,7.334090489427263e-5,422.62937390563,1
83,0.02864257329655465,0.02,0.03810118257660647,392.15852181515834,0.5543075212094288
84,0.02578676173318071,0.08,7.334090489427263e-5,401.9842307911533,1
85,0.02738288756133599,0.05,7.334090489427263e-5,419.3636928384613,1
86,0.02461204694014854,0.07,7.334090489427263e-5,403.89271995699664,1
87,0.02301687644782072,0.17,7.334090489427263e-5,407.0650216959541,1
88,0.02736333870538927,0.06,0.02841597787566616,394.0680676168795,1
89,0.02589093144081208,0.06,0.0114289224612766,418.2991180181575,1
90,0.02711535191773064,0.05,7.334090489427263e-5,419.5760353641619,1
91,0.02737713294740661,0.05,7.334090489427263e-5,417.60046478427626,1
92,0.02913122578337663,0.03,0.05590115908563813,393.804630851218,0.73614864266767
93,0.02760704981985944,0.03,0.12185870734733904,399.0085407581612,1
94,0.02770917774855089,0.03,7.334090489427263e-5,429.1357009086869,1
95,0.02743617809268629,0.03,5.245254485287027e-5,422.6451166583081,1
96,0.02457278561849734,0.1,7.334090489427263e-5,389.51203909071864,1
97,0.02496141661936277,0.07,7.334090489427263e-5,419.6045525698569,1
98,0.02670177723592173,0.05,7.334090489427263e-5,395.9058665007308,1
99,0.02672764375647875,0.11,0.02256811321694836,399.2383317634901,1
100,0.02959671606693983,0.06,0.06087520104505275,396.497242868287,0.2991746514782639
